43 1001
Wienhold, Frank G.
Institute for Atmosheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on the roof of the ETH CHN building
permanent monitoring
1 1
2010 12 01  2010 12 01
0.0
time in minutes since 2010-12-01 0h00 GMT
17
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: roof of building CHN, Universitaestrasse 16, CH 8092 Zurich, Switzerland
latitude 47.37929 deg north
longitude 8.54872 deg east
elevation 510 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

       560    937.26     -2.42     -4.92     82.89      3.38      0.00         0         0         2
       570    937.24     -1.85     -4.98     79.14      3.47      0.00         0         0         2
       580    937.18     -2.63     -5.04     83.45      3.28      0.00         0         0         2
       590    937.40     -1.90     -5.00     79.30      3.48      0.00         0         0         2
       600    937.53     -2.83     -4.99     85.00      3.48      0.00         0         0         2
       610    937.66     -2.63     -4.95     84.04      3.63      0.00         0         0         2
       620    937.54     -2.28     -4.93     82.01      3.51      0.00         0         0         2
       630    937.34     -2.33     -4.96     82.12      3.53      0.00         0         0         2
       640    937.03     -2.52     -4.86     83.90      3.52      0.00         0         0         2
       650    936.95     -2.39     -4.63     84.53      3.48      0.00         0         0         2
       660    937.01     -2.57     -4.97     83.52      3.48      0.00         0         0         2
       670    936.79     -2.70     -4.85     85.12      3.53      0.00         0         0         2
       680    936.81     -2.25     -4.81     82.53      3.28      0.00         0         0         2
       690    936.69     -2.34     -4.78     83.33      3.56      0.00         0         0         2
       700    936.62     -2.75     -4.73     86.18      3.61      0.00         0         0         2
       710    936.44     -1.72     -4.72     79.92      3.78      0.00         0         0         2
       720    936.37     -2.58     -4.61     85.91      3.77      0.00         0         0         2
       730    936.27     -2.55     -4.71     85.05      3.67      0.00         0         0         2
       740    936.27     -2.83     -4.83     86.07      3.58      0.00         0         0         2
       750    936.24     -2.71     -4.75     85.79      3.56      0.00         0         0         2
       760    936.11     -2.47     -4.66     84.87      3.69      0.00         0         0         2
       770    936.17     -2.47     -4.71     84.56      3.65      0.00         0         0         2
       780    936.29     -2.63     -4.87     84.49      3.29      0.00         0         0         2
       790    936.28     -2.40     -4.59     84.85      3.28      0.00         0         0         2
       800    936.27     -2.53     -4.52     86.13      3.28      0.00         0         0         2
       810    936.29     -2.51     -4.51     86.05      3.48      0.00         0         0         2
       820    936.28     -2.69     -4.75     85.67      3.51      0.00         0         0         2
       830    936.41     -2.52     -4.72     84.85      3.42      0.00         0         0         2
       840    936.58     -2.48     -4.68     84.80      3.22      0.00         0         0         2
       850    936.63     -2.64     -4.88     84.48      3.17      0.00         0         0         2
       860    936.71     -2.59     -4.92     83.96      3.08      0.00         0         0         2
       870    936.81     -2.63     -4.91     84.28      2.87      0.00         0         0         2
       880    936.94     -2.56     -4.92     83.79      2.77      0.00         0         0         2
       890    936.90     -2.58     -5.04     83.17      2.64      0.00         0         0         2
       900    936.93     -2.59     -4.92     83.94      2.55      0.00         0         0         2
       910    937.09     -2.65     -4.76     85.37      2.29      0.00         0         0         2
       920    937.15     -2.83     -4.51     88.16      2.01      0.00         0         0         2
       930    937.22     -2.92     -4.10     91.54      1.74      0.00         0         0         2
       940    937.42     -3.11     -4.28     91.55      1.50      0.00         0         0         2
       950    937.57     -2.83     -4.16     90.57      1.12      0.00         0         0         2
