;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse
;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse
;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet
;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet
;CO;Hr;NO;NO2;NOx;O3;p;PM10;PM2.5;PN;SO2;StrGlo;T;WD;WVv;RainDur
;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle 
;Kanalberechnungen (Eichkorrektur);;Kanalberechnungen (Eichkorrektur);Kanalberechnungen (Subtraktion);Kanalberechnungen (Eichkorrektur);Kanalberechnungen (Eichkorrektur);;Horizontale Verdichtung (Erster Messwert);Horizontale Verdichtung (Erster Messwert);;Kanalberechnungen (Eichkorrektur);;;;;
;ppm;%Hr;ppb;ppb;ppb;ppb;hPa;µg/m3;µg/m3;1/cm3;ppb;W/m2;°C;°;m/s;min
;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30
Startzeit;Berechnet;Final;Berechnet;Berechnet;Berechnet;Berechnet;Final;Berechnet;Berechnet;Final;Berechnet;Final;Final;Final;Final;Final
01.01.2017 00:00;0.31287;88.217;7.5063;20.1657;27.672;0.71217;977.33;76.37508;;16254;1.2582;0.033637;-1.6416;296.15;1.3105;0
01.01.2017 00:30;0.31102;86.607;7.6017;19.2733;26.875;0.73894;977.1;135.38172;;15579;1.1697;0.031141;-1.6494;288.27;1.4193;0
01.01.2017 01:00;0.31467;87.549;9.9651;20.4719;30.437;0.71133;976.8;94.8574;;12497;0.7506;0.037977;-2.1413;301.2;1.2009;0
01.01.2017 01:30;0.31723;86.708;14.552;20.845;35.397;0.63794;976.44;77.346576;;12020;0.73906;0.041233;-2.0083;291.53;1.0194;0
01.01.2017 02:00;0.31287;86.932;8.3434;19.5846;27.928;0.60989;976.24;78.607296;;10350;0.68112;0.02615;-2.1164;286.61;1.1283;0
01.01.2017 02:30;0.31301;86.717;8.9536;20.7124;29.666;0.40811;976.08;77.157056;;10742;0.6727;0.035156;-1.9752;271.17;0.61363;0
01.01.2017 03:00;0.31267;87.067;8.7161;20.5959;29.312;0.64056;975.75;73.28508;;9006.6;0.61785;0.042209;-1.9251;277.18;0.85789;0
01.01.2017 03:30;0.31111;87.46;8.0582;20.4418;28.5;0.90789;975.4;61.84384;;10229;0.56849;0.02691;-1.9835;230.95;0.6619;0
01.01.2017 04:00;0.31536;88.623;6.6781;21.2479;27.926;1.2245;975.1;51.88168;;7776.8;0.55873;0.031467;-2.1666;211.06;0.93178;0
01.01.2017 04:30;0.31494;87.175;10.008;22.568;32.576;1.1896;974.73;55.331768;;7688.4;0.54574;0.029731;-2.1251;206.28;0.58758;0
01.01.2017 05:00;0.30512;86.707;5.217;20.928;26.145;1.1504;974.46;36.23392;;6614;0.56034;0.041775;-2.1331;269.31;0.91765;0
01.01.2017 05:30;0.30129;88.618;4.0485;20.6195;24.668;0.99072;974.24;35.381904;;6236.1;0.49999;0.036567;-2.3085;242.19;0.623;0
01.01.2017 06:00;0.30069;87.3;9.2938;19.3882;28.682;1.3424;974.03;46.656696;;8182.6;0.58842;0.037218;-2.3333;297.29;0.94861;0
01.01.2017 06:30;0.29504;85.5;4.7961;19.3979;24.194;1.0747;973.94;54.362744;;7698.9;0.6276;0.035156;-2.1249;298.22;1.2897;0
01.01.2017 07:00;0.30474;87.917;4.3744;19.4746;23.849;1.1148;973.79;42.400736;;6799.3;0.56082;0.027452;-2.3582;281.5;0.84167;0
01.01.2017 07:30;0.28808;87.548;2.9349;18.4061;21.341;1.5637;973.56;41.39216;;6049.1;0.56561;0.043511;-2.4247;288.24;1.0405;0
01.01.2017 08:00;0.29439;88.135;3.971;18.401;22.372;1.5203;973.48;41.411112;;6369.9;0.55512;1.3698;-2.3835;290.05;0.86975;0
01.01.2017 08:30;0.29982;90.5;7.0272;16.9568;23.984;2.2263;973.3;41.176272;;5292;0.51973;9.8247;-2.8166;265.9;0.7039;0
01.01.2017 09:00;0.28989;89.823;7.7665;15.7305;23.497;3.0673;973.27;39.861168;;6854.3;0.563;24.649;-2.8414;295.34;1.2503;0
01.01.2017 09:30;0.29149;89.807;9.6336;14.9284;24.562;3.4686;973.17;35.957056;;6205.9;0.5168;53.998;-3.0999;300.18;0.64052;0
01.01.2017 10:00;0.29129;86.731;7.8903;12.4907;20.381;5.0094;973.05;31.432472;;5707;0.50237;81.376;-2.9079;281.37;0.94261;0
01.01.2017 10:30;0.29978;86.066;12.761;13.694;26.455;4.9948;972.82;32.21692;;7444.2;0.51002;112.8;-2.8416;256.84;0.40066;0
01.01.2017 11:00;0.29882;85.426;12.58;14.137;26.717;5.3687;972.37;15.932208;;6993.4;0.53652;172.11;-2.5668;265.81;0.72011;0
01.01.2017 11:30;0.30262;82.343;14.403;14.458;28.861;5.3789;971.93;30.741136;;8425.7;0.55541;159.56;-1.8752;266.38;0.86161;0
01.01.2017 12:00;0.30988;80;16.449;14.539;30.988;5.7957;971.37;38.958888;;9407.5;0.61795;176.42;-1.475;255.81;0.84316;0
01.01.2017 12:30;0.31133;79.033;18.666;15.431;34.097;5.5391;970.97;41.121064;;11414;0.65419;217.05;-1.0666;227.84;0.81186;0
01.01.2017 13:00;0.45676;77.085;21.414;15.781;37.195;6.0139;970.59;40.498944;;11259;0.76172;294.77;-0.62517;227.93;0.71586;0
01.01.2017 13:30;0.35336;73.252;16.811;14.967;31.778;6.7439;970.17;36.552808;;9637;0.82611;273.38;-0.050222;240.21;1.0397;0
01.01.2017 14:00;0.34018;74.817;19.905;17.402;37.307;5.6764;969.84;36.09384;;16393;0.7331;239.41;0.24161;200.32;1.2306;0
01.01.2017 14:30;0.35108;73.293;22.341;18.99;41.331;5.6884;969.74;36.109496;;14657;0.73173;191.59;0.53306;199.7;0.82525;0
01.01.2017 15:00;0.33321;72.066;14.311;18.314;32.625;5.7343;969.74;36.091368;;14626;0.71039;137.65;0.90839;184.49;1.1541;0
01.01.2017 15:30;0.32581;72.159;13.693;20.004;33.697;4.8421;969.66;34.148376;;12163;0.71179;81.675;1.0915;208.06;1.0601;0
01.01.2017 16:00;0.32379;77.587;13.668;20.823;34.491;3.3008;969.64;32.434456;;12580;0.6319;27.44;0.87539;207.67;1.1238;0
01.01.2017 16:30;0.35614;82.182;15.099;23.691;38.79;1.5676;969.55;38.559248;;11163;0.6231;3.0616;0.71672;183.59;1.5418;0
01.01.2017 17:00;0.35761;86.342;13.54;22.592;36.132;0.94089;969.62;34.089872;;14896;0.6056;0.038194;0.39161;189.09;1.6385;0
01.01.2017 17:30;0.38416;87.217;17.279;23.82;41.099;0.848;969.69;28.625928;;16222;0.5973;0.03852;0.21667;169.46;1.2882;0
01.01.2017 18:00;0.37204;85.991;21.16;24.507;45.667;0.55678;969.79;31.655776;;14033;0.69944;0.034722;0.016722;255.61;0.61967;0
01.01.2017 18:30;0.37507;82.067;14.583;23.211;37.794;0.38956;969.89;37.446024;;14879;0.73703;0.041124;-0.40811;292.84;1.14;0
01.01.2017 19:00;0.36127;82.2;11.013;21.985;32.998;0.71967;970.09;39.469768;;11617;0.69706;0.039171;-0.98333;282.03;0.89192;0
01.01.2017 19:30;0.35193;82.208;11.265;20.713;31.978;0.72656;970.18;29.469704;;10996;0.70207;0.036784;-1.1416;298.65;0.79594;0
01.01.2017 20:00;0.35052;83.466;11.959;21.006;32.965;0.40228;970.32;32.081784;;11876;0.71398;0.039388;-1.4499;273.64;0.82223;0
01.01.2017 20:30;0.34172;84.857;10.346;20.722;31.068;0.65506;970.54;28.976128;;10942;0.79352;0.048069;-1.7164;282.37;0.68442;0
01.01.2017 21:00;0.34059;85.283;12.116;20.992;33.108;1.1899;970.59;27.712112;;12683;0.69515;0.034614;-1.7917;291.53;0.61725;0
01.01.2017 21:30;0.34206;85.84;8.0238;20.7292;28.753;0.8245;970.62;30.139616;;11640;0.66698;0.039063;-1.6664;303.31;1.2535;0
01.01.2017 22:00;0.34792;86.707;11.974;22.053;34.027;0.61211;970.62;28.250184;;11623;0.5787;0.041775;-1.5329;289.2;1.0333;0
01.01.2017 22:30;0.34483;89.384;8.9034;20.6946;29.598;0.71561;970.63;32.685776;;8769.6;0.52038;0.03559;-1.9002;308.64;1.1522;0
01.01.2017 23:00;0.34213;89.134;7.4103;20.8467;28.257;0.50978;970.78;28.7108;;8306.7;0.50702;0.03559;-1.8334;306.07;0.99092;0
01.01.2017 23:30;0.33513;90.059;5.8234;20.4386;26.262;0.83256;970.78;19.90224;;6916;0.52893;0.037326;-1.9;287.93;0.92344;0
02.01.2017 00:00;0.33311;91.794;6.8142;21.3088;28.123;0.61817;970.72;22.403904;;6775.7;0.53015;0.034505;-1.9251;278.28;0.88097;0
02.01.2017 00:30;0.33295;91.718;5.8368;20.8972;26.734;0.57189;970.67;25.984184;;9336.9;0.51637;0.044488;-1.9084;284.34;0.78019;0
02.01.2017 01:00;0.32452;88.407;4.0346;19.8684;23.903;1.289;970.56;33.614424;;6386.7;0.52633;0.044705;-1.7749;300.16;0.91736;0
02.01.2017 01:30;0.32058;87.308;3.7924;18.9936;22.786;1.3888;970.45;31.329472;;6933.2;0.51744;0.034939;-1.7333;297.12;1.1842;0
02.01.2017 02:00;0.31884;89.436;2.9818;19.1342;22.116;1.4887;970.46;30.0498;;6101.4;0.51073;0.035265;-1.8834;324.92;0.77004;0
02.01.2017 02:30;0.31169;87.451;3.3591;17.7579;21.117;1.5997;970.49;28.404272;;6455;0.53472;0.039388;-2.0252;301.63;0.86834;0
02.01.2017 03:00;0.3084;90.71;4.0949;20.4271;24.522;0.9345;970.35;25.446112;;7075.6;0.55122;0.035699;-2.2085;45.994;0.29653;0
02.01.2017 03:30;0.30461;87.907;3.3518;19.0852;22.437;1.0793;970.25;26.72084;;5893.7;0.54214;0.037218;-1.8831;280.94;0.66605;0
02.01.2017 04:00;0.30714;90.101;4.2339;20.4471;24.681;1.0016;970.15;22.367648;;5902.7;0.50114;0.036784;-2.0168;248.8;0.45431;0
02.01.2017 04:30;0.30606;88.932;5.1777;18.6863;23.864;1.3343;969.89;29.841328;;7398;0.52618;0.032878;-2.0582;297.71;1.0149;0
02.01.2017 05:00;0.29993;88.225;5.5358;18.6832;24.219;1.3172;969.72;32.619856;;9859.6;0.58992;0.036024;-2.175;320.77;1.0402;0
02.01.2017 05:30;0.29325;88.8;4.5477;19.0033;23.551;1.595;969.9;25.977592;;8764.3;0.59064;0.039822;-2.2667;317.8;0.99776;0
02.01.2017 06:00;0.28824;88.385;3.9104;16.0596;19.97;2.6697;970.17;25.371128;;7142.9;0.61873;0.032552;-2.6502;330.3;1.064;0
02.01.2017 06:30;0.28498;85.89;4.0618;15.2092;19.271;3.8104;970.45;26.24704;;9381.2;0.67443;0.033854;-2.3496;311.96;0.85733;0
02.01.2017 07:00;0.26939;86.657;3.9351;13.4679;17.403;6.2084;970.55;26.10284;;6889.1;0.60395;0.037326;-2.1332;255.45;1.1741;0
02.01.2017 07:30;0.28663;85.991;6.086;18.567;24.653;1.4583;970.68;19.489416;;8670.2;0.63539;0.031901;-2.2248;179.46;1.5589;0
02.01.2017 08:00;0.28381;86.984;5.7844;18.6326;24.417;1.5971;970.76;21.921864;;8609.8;0.58345;2.4947;-2.0834;173.12;1.9169;0
02.01.2017 08:30;0.28456;88.815;8.4541;18.5159;26.97;2.1013;970.92;24.078272;;8736.2;0.62289;26.735;-1.8413;170.67;0.8325;0
02.01.2017 09:00;0.28806;88.392;12.96;18.274;31.234;2.6599;971.04;24.444128;;9932;0.65627;96.159;-1.675;229.94;0.76;0
02.01.2017 09:30;0.28327;86.451;11.117;17.054;28.171;4.1911;971.33;25.58372;;8964.5;0.65986;87.229;-1.2418;247.66;0.91664;0
02.01.2017 10:00;0.27498;85.932;9.0561;16.3859;25.442;4.8819;971.35;26.041864;;7437.2;0.68068;55.042;-1.1417;220.52;0.75308;0
02.01.2017 10:30;0.28253;87.191;11.487;16.664;28.151;4.1545;971.3;31.775256;;8661.2;0.55444;52.286;-0.88344;182.09;0.85068;0
02.01.2017 11:00;0.29005;86.608;11.653;15.653;27.306;4.7177;971.09;27.349552;;9391.3;0.54923;80.732;-0.63322;197.34;1.1826;0
02.01.2017 11:30;0.35101;85.749;15.833;14.808;30.641;6.1127;970.73;16.134912;;8884.3;0.56672;194.39;-0.21639;190.45;1.1521;0
02.01.2017 12:00;0.32671;83.736;16.679;13.474;30.153;7.0839;970.53;8.0689408;;10172;0.60745;314.52;0.15783;273.36;0.4226;0
02.01.2017 12:30;0.29409;77.326;9.8638;12.1972;22.061;8.4648;970.76;49.122928;;10569;0.68096;253.46;1.0997;334.01;1.7821;0
02.01.2017 13:00;0.27238;77.017;4.5946;10.9764;15.571;10.323;970.83;32.8926;;7546;0.61887;127.97;1.1416;279.44;1.9488;0
02.01.2017 13:30;0.25756;82.74;3.4312;8.7218;12.153;12.817;970.68;22.333864;;4679.6;0.56983;133.27;0.5335;251.95;1.645;0
02.01.2017 14:00;0.24701;83.115;3.1883;9.3507;12.539;12.418;970.63;24.167264;;5904.6;0.5775;117.43;0.75861;264.85;1.8415;0
02.01.2017 14:30;0.24363;83.109;4.3371;10.7209;15.058;12.525;970.44;18.955464;;5602.5;0.57755;86.264;1.0082;247.46;1.132;0
02.01.2017 15:00;0.23466;82.741;3.6721;10.7619;14.434;13.543;970.47;17.884264;;5410.4;0.60516;73.101;1.2167;254.6;1.2573;0
02.01.2017 15:30;0.23885;83.399;2.4238;11.1152;13.539;13.112;970.4;19.769576;;6529.7;0.62963;37.27;1.2834;250.06;1.2599;0
02.01.2017 16:00;0.25579;82.016;4.4621;16.1769;20.639;9.6292;970.48;17.403872;;9984;0.67197;12.07;1.6251;288.61;0.78328;0
02.01.2017 16:30;0.26821;81.691;5.7586;17.7114;23.47;8.4926;970.52;20.146144;;9503.7;0.71662;1.795;1.6667;323.84;0.85121;0
02.01.2017 17:00;0.27392;84.024;15.608;20.774;36.382;7.0706;970.89;19.821488;;10355;0.75131;0.025174;1.3168;319.56;0.58001;0
02.01.2017 17:30;0.27583;83.357;6.879;23.801;30.68;4.5994;971.26;15.72868;;12375;0.71647;0.037218;1.5751;10.232;1.1154;0.18333
02.01.2017 18:00;0.31514;87.033;17.632;23.597;41.229;4.1268;971.45;23.60612;;16599;0.73895;0.040582;1.4334;10.446;2.0232;2.9167
02.01.2017 18:30;0.28898;92.7;15.221;24.733;39.954;3.3001;971.66;31.17456;;12724;0.77559;0.040799;0.79167;345.57;0.77068;27.95
02.01.2017 19:00;0.31787;95;4.0601;19.0009;23.061;5.8299;971.81;26.092952;;8746;0.62143;0.036458;0.47506;278.71;0.99129;30
02.01.2017 19:30;0.30092;94.625;4.4092;19.4758;23.885;4.9227;972.08;18.623392;;8607.6;0.61516;0.042209;0.54167;304.68;1.1749;30
02.01.2017 20:00;0.32045;95.151;7.3299;22.7581;30.088;2.2618;972.26;11.416688;;11850;0.63928;0.035916;0.49156;309.51;1.1676;30
02.01.2017 20:30;0.30074;94.483;21.126;18.522;39.648;6.8545;972.37;11.438936;;15308;0.63054;0.040256;0.55833;352.15;1.8062;29.483
02.01.2017 21:00;0.29214;93.867;4.1754;14.9706;19.146;8.0574;972.62;8.4982448;;14146;0.71652;0.039497;0.59167;2.3156;1.6004;12.433
02.01.2017 21:30;0.2844;93.775;8.0933;19.2277;27.321;6.6572;972.96;5.9256344;;17452;0.73366;0.047092;0.66667;14.515;1.023;25.183
02.01.2017 22:00;0.32987;92.124;7.8137;18.2443;26.058;8.0449;973.15;12.557104;;13401;0.7505;0.043511;0.66678;35.339;0.57277;26.483
02.01.2017 22:30;0.27368;91.066;12.339;17.287;29.626;10.281;973.34;10.600104;;13077;0.66757;0.043837;0.69167;12.316;0.68116;0
02.01.2017 23:00;0.27405;91.85;3.9616;17.3754;21.337;7.8202;973.56;14.940112;;16770;0.65883;0.032444;0.5585;20.303;0.46968;0
02.01.2017 23:30;0.27613;93.108;3.6889;17.4861;21.175;5.5493;973.79;3.127248;;16306;0.66731;0.045247;0.55811;342.53;0.67571;0
03.01.2017 00:00;0.26876;93.175;4.5423;17.0107;21.553;4.8865;973.93;8.9250768;;11997;0.67444;0.039822;0.47506;344.51;0.85693;0
03.01.2017 00:30;0.26316;93.733;3.6298;17.2132;20.843;4.1199;974;17.907336;;13262;0.66303;0.048394;0.25833;348.7;1.3055;0
03.01.2017 01:00;0.25511;94.017;1.8763;13.7677;15.644;5.705;974.14;17.276976;;8158.5;0.58815;0.051975;0.083222;350.74;0.98523;0
03.01.2017 01:30;0.25096;93.892;1.441;10.872;12.313;6.7842;973.96;15.198024;;4742.7;0.56559;0.057292;0.016722;358.08;1.6635;0
03.01.2017 02:00;0.25131;92.65;1.0771;10.5519;11.629;7.4633;974.2;14.808272;;4636.6;0.58755;0.031467;-0.075;29.068;1.7741;0
03.01.2017 02:30;0.25121;91.116;4.3857;13.0733;17.459;6.3503;974.36;16.228024;;5699.4;0.59733;0.040799;-0.0415;22.086;1.7219;0
03.01.2017 03:00;0.25111;91.15;3.2511;12.6249;15.876;5.7961;974.47;13.87056;;13913;0.8436;0.040907;-0.36678;33.271;1.8696;0
03.01.2017 03:30;0.25102;90.742;2.3969;11.9291;14.326;6.9492;974.48;17.258848;;10173;0.70575;0.04069;-0.68333;33.903;2.2698;0
03.01.2017 04:00;0.25109;91.525;3.2131;12.1389;15.352;6.8638;974.46;15.645456;;7437.7;0.60828;0.042752;-0.99178;34.188;2.2396;0
03.01.2017 04:30;0.25034;92.149;2.9449;12.2801;15.225;6.6816;974.59;16.752088;;7540.5;0.61279;0.041124;-1.2332;21.205;1.4214;0
03.01.2017 05:00;0.25191;92.509;5.2091;16.0169;21.226;5.3319;974.79;18.66212;;8117.7;0.64793;0.042535;-1.4084;17.408;1.3651;0
03.01.2017 05:30;0.25422;92.6;10.954;20.102;31.056;3.6084;975.05;5.5309384;;13497;0.68783;0.035699;-1.5837;37.359;1.0477;0
03.01.2017 06:00;0.26179;92.949;30.053;21.86;51.913;3.918;975.22;15.4032;;7782.4;0.62403;0.031359;-1.6666;53.677;0.73288;0
03.01.2017 06:30;0.26296;93.034;23.584;22.962;46.546;3.6511;975.46;23.848376;;15060;0.62102;0.040582;-1.8753;50.791;0.64296;0
03.01.2017 07:00;0.26698;91.891;19.533;23.351;42.884;3.0184;975.56;20.342256;;16851;0.63926;0.038086;-1.8416;341.32;1.0944;0
03.01.2017 07:30;0.29868;92.775;20.827;24.149;44.976;1.6989;975.55;21.262664;;18825;0.64564;0.046875;-2.0502;0.13638;1.7426;0
03.01.2017 08:00;0.29443;93.416;29.218;28.265;57.483;1.0146;975.46;18.442936;;25402;0.66082;0.84918;-2.1415;350.98;1.1616;0
03.01.2017 08:30;0.30619;93.5;41.019;27.471;68.49;1.1368;975.53;21.111048;;22533;0.57876;4.839;-2.1833;7.502;0.90654;0
03.01.2017 09:00;0.36094;93.291;33.118;31.585;64.703;1.8012;975.66;21.98696;;38459;0.6741;10.166;-2.5004;346;1.3908;0
03.01.2017 09:30;0.34995;92.549;40.835;29.754;70.589;2.6777;975.74;20.682568;;29888;0.63533;20.438;-2.5581;357.23;1.3574;3.0667
03.01.2017 10:00;0.33557;92.208;36.885;25.034;61.919;2.9729;975.91;23.701704;;23374;0.62461;24.993;-2.7664;11.749;1.7038;0
03.01.2017 10:30;0.33614;90.434;38.836;24.836;63.672;3.0416;976.12;24.464728;;30675;0.69852;35.716;-2.4083;24.512;1.6827;0
03.01.2017 11:00;0.34647;90.174;40.464;27.23;67.694;3.1807;976.12;16.186;;20530;0.6942;39.7;-2.1331;21.658;1.5951;0
03.01.2017 11:30;0.34796;90.032;51.071;28.049;79.12;2.9432;976.12;8.3800008;;23790;0.59946;42.158;-1.8748;4.5398;1.7184;0
03.01.2017 12:00;0.33184;90.383;30.301;23.145;53.446;4.6137;976.07;15.536688;;10705;0.56806;56.195;-1.9417;18.121;2.0716;0
03.01.2017 12:30;0.33292;90.217;27.768;22.968;50.736;4.9827;975.68;19.664104;;12031;0.66321;63.699;-1.8834;312.3;0.66592;0
03.01.2017 13:00;0.3537;90.417;33.119;24.94;58.059;3.9292;975.48;27.142728;;17019;0.63215;46.496;-1.7417;293.18;0.83367;0
03.01.2017 13:30;0.377;88.643;47.53;28.248;75.778;3.1827;975.18;27.010064;;23470;0.71792;36.67;-1.317;307.62;0.63065;0
03.01.2017 14:00;0.34695;88.184;34.145;27.5;61.645;3.2469;975;23.265808;;11554;0.67582;32.378;-1.1667;326.93;0.93847;0
03.01.2017 14:30;0.35753;87.383;44.669;32.277;76.946;2.5046;974.81;26.103664;;14840;0.71447;26.82;-0.89989;33.633;1.404;0
03.01.2017 15:00;0.3715;86.968;30.134;29.683;59.817;2.9626;974.71;27.080928;;12961;0.675;15.9;-0.93356;336.01;0.94849;0
03.01.2017 15:30;0.35309;87.182;31.893;31.133;63.026;2.6441;975;18.585488;;11343;0.63868;9.2934;-1.1162;347.32;1.0253;0
03.01.2017 16:00;0.32282;87.642;12.903;27.751;40.654;4.5909;975.04;20.362856;;8361.1;0.61564;5.4593;-1.4829;290.06;0.59925;0
03.01.2017 16:30;0.32443;86.833;9.8154;29.5086;39.324;3.0271;975.28;21.676312;;7133.1;0.61535;0.89648;-1.3833;260.18;0.98485;0
03.01.2017 17:00;0.32664;86.492;11.005;31.909;42.914;1.6994;975.34;21.823808;;8286.1;0.64904;0.036458;-1.2499;268.02;0.86695;0
03.01.2017 17:30;0.35298;86.367;13.118;33.323;46.441;1.0201;975.13;13.46268;;7720.6;0.6846;0.040256;-1.1667;259;1.024;0
03.01.2017 18:00;0.30855;85.567;6.1372;30.0938;36.231;3.0935;974.95;22.332216;;9003.8;0.65171;0.043728;-1.025;250.98;1.6384;0
03.01.2017 18:30;0.31133;83.885;6.3449;26.1321;32.477;5.4941;975.34;28.9168;;10011;0.66698;0.042101;-0.91678;303.26;1.5241;0
03.01.2017 19:00;0.29376;85.173;5.1157;22.3793;27.495;6.6949;975.41;24.674024;;8365.4;0.59213;0.040365;-1.2413;285.49;1.3339;0
03.01.2017 19:30;0.28126;86.375;6.0213;21.2187;27.24;7.4751;975.43;20.698224;;7691.5;0.58975;0.039931;-1.6832;272.61;0.85077;0
03.01.2017 20:00;0.28371;86.991;14.603;25.371;39.974;5.0476;975.37;16.191768;;9463.3;0.63482;0.037543;-1.6915;303.24;0.86044;0
03.01.2017 20:30;0.27311;87.383;4.2545;21.9515;26.206;5.4196;975.32;14.831344;;11135;0.68698;0.033529;-1.8415;304.47;0.94718;0
03.01.2017 21:00;0.27101;88.158;10.299;22.082;32.381;4.8831;975.29;22.768112;;9210.9;0.61873;0.042101;-1.8667;289.44;0.89724;0
03.01.2017 21:30;0.29061;88.608;6.5565;20.9485;27.505;5.3959;975;24.500984;;7654.3;0.59901;0.034831;-2.0417;285.53;0.63436;0
03.01.2017 22:00;0.2803;88.642;3.0262;22.0068;25.033;4.0598;974.69;19.639384;;8698.1;0.62041;0.029297;-2.0832;303.3;1.0188;0
03.01.2017 22:30;0.27932;88.35;2.9939;23.2331;26.227;3.1231;974.28;18.989248;;8760.1;0.63717;0.043511;-1.9833;244.94;0.86925;0
03.01.2017 23:00;0.28439;88.266;5.1671;23.5679;28.735;2.5419;974.05;21.336824;;11687;0.67545;0.035699;-1.9415;282.19;0.65156;0
03.01.2017 23:30;0.2832;88.175;8.3161;23.7739;32.09;1.9937;973.73;19.701184;;9039.4;0.68025;0.038954;-1.8918;277.09;0.78804;0
04.01.2017 00:00;0.27173;88.267;2.9378;19.2482;22.186;4.4452;973.54;12.528264;;7092.1;0.65937;0.040256;-1.8834;288.84;1.0318;0
04.01.2017 00:30;0.26787;88.874;2.0391;18.1409;20.18;4.7901;973.37;13.511296;;7576.3;0.63029;0.034397;-2.1165;301.34;0.77686;0
04.01.2017 01:00;0.26212;88.076;2.0466;19.6974;21.744;3.6967;973.05;21.378848;;6826.7;0.6672;0.033637;-2.0751;290.33;0.53806;0
04.01.2017 01:30;0.25672;86.776;5.3017;18.8453;24.147;5.4169;972.71;23.597056;;12479;0.74256;0.033854;-1.9751;356.6;0.75874;0
04.01.2017 02:00;0.247;83.437;3.1065;15.2995;18.406;9.6818;972.3;17.070152;;7442.7;0.70715;0.03928;-1.6503;337.23;0.84695;0
04.01.2017 02:30;0.24;84.039;1.6381;13.3149;14.953;10.467;972.08;17.955952;;7095.1;0.71596;0.044054;-1.5499;341.99;0.46134;0
04.01.2017 03:00;0.24448;83.601;2.1906;15.1924;17.383;9.3658;971.84;17.399752;;7316.9;0.75059;0.033095;-1.3252;318.59;0.592;0
04.01.2017 03:30;0.23554;81.637;1.3229;12.5241;13.847;11.037;971.77;19.139216;;5833.3;0.64786;0.031467;-1.1252;302.67;1.9803;0
04.01.2017 04:00;0.23383;81.949;1.0971;12.4199;13.517;10.576;971.54;17.047904;;7872.7;0.6504;0.035265;-1.3998;320.53;0.84168;0
04.01.2017 04:30;0.23819;81.25;1.8718;15.1922;17.064;8.4112;971.24;14.0642;;17034;0.76489;0.036241;-1.525;350.6;1.1904;0
04.01.2017 05:00;0.24233;79.617;2.2924;15.1146;17.407;8.9951;971.46;20.718;;14409;0.73818;0.03852;-1.1419;8.5801;1.5257;0
04.01.2017 05:30;0.24178;80.017;9.4764;20.0616;29.538;6.8249;971.56;4.5750984;;17221;0.83235;0.038411;-1.1083;26.465;0.21079;0
04.01.2017 06:00;0.23082;76.56;5.5604;19.6586;25.219;8.2776;971.25;12.253872;;10109;0.73531;0.040039;-0.65856;188.65;2.2362;0
04.01.2017 06:30;0.21287;68.069;2.5289;13.8351;16.364;15.78;971.04;13.105064;;9600.5;0.7082;0.038737;0.24978;194.61;3.4239;0
04.01.2017 07:00;0.20408;70.358;3.1584;11.6656;14.824;18.592;970.89;15.272184;;8958.5;0.6663;0.03635;0.39167;203.03;3.6799;0
04.01.2017 07:30;0.19948;77.94;3.5608;12.6012;16.162;21.309;970.56;8.835096;;9535.7;0.58006;0.033637;0.20017;209.13;4.247;0
04.01.2017 08:00;0.19601;70.728;2.9933;12.9947;15.988;20.415;970.7;3.2625488;;10792;0.64234;0.031359;0.717;244.98;2.8633;0
04.01.2017 08:30;0.18989;65.85;2.7327;12.3593;15.092;20.417;970.42;9.4012664;;10267;0.65854;1.8474;1.0334;226.3;2.9101;0
04.01.2017 09:00;0.18972;64.449;7.8627;14.1023;21.965;18.014;970.1;11.487552;;10436;0.6595;3.6064;1.1999;227.45;2.7752;0
