43 1001
Wienhold, Frank G.
Institute for Atmosheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on the roof of the ETH CHN building
permanent monitoring
1 1
2010 12 03  2010 12 03
0.0
time in minutes since 2010-12-03 0h00 GMT
17
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: roof of building CHN, Universitaestrasse 16, CH 8092 Zurich, Switzerland
latitude 47.37929 deg north
longitude 8.54872 deg east
elevation 510 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

       290    947.70     -3.48     -5.21     87.74     -0.59      0.00      0.76      1.06     80.00      2.65    101.00      0.13      0.75         0         0         2       128
       300    947.67     -3.17     -5.27     85.36     -0.57      0.00      1.07      1.26     72.00      3.14     99.00      0.33      1.02         0         0         2       128
       310    947.71     -3.30     -5.24     86.43     -0.46      0.00      1.05      1.24     82.00      3.11     94.00      0.14      1.04         0         0         2       128
       320    947.73     -2.61     -5.36     81.30     -0.46      0.00      1.73      1.84     72.00      3.83     70.00      0.52      1.65         0         0         2       128
       330    947.72     -1.97     -5.51     76.66     -0.42      0.00      1.75      1.85     56.00      3.36     23.00      0.98      1.45         0         0         2       128
       340    947.75     -2.76     -5.39     82.04     -0.39      0.00      1.65      1.76     69.00      3.82     96.00      0.59      1.54         0         0         2       128
       350    947.77     -2.47     -5.53     79.41     -0.38      0.00      1.66      1.76     56.00      3.36     67.00      0.93      1.38         0         0         2       128
       360    947.82     -3.72     -5.50     87.36     -0.35      0.00      1.80      1.88     58.00      2.97     70.00      0.96      1.52         0         0         2       128
       370    947.83     -1.80     -5.65     74.94     -0.27      0.00      2.02      2.09     61.00      3.19     58.00      0.97      1.77         0         0         2       128
       380    947.79     -3.20     -5.80     82.22      0.09      0.00      1.44      1.56     69.00      3.00     60.00      0.52      1.35         0         0         2       128
       390    947.76     -2.80     -5.87     79.37      0.88      0.00      1.47      1.56     83.00      3.34     99.00      0.17      1.46         0         0         2       128
       400    947.80     -2.88     -6.05     78.74      1.48      0.00      1.35      1.49     67.00      3.26    101.00      0.52      1.25         0         0         2       128
       410    947.81     -3.94     -5.88     86.31      1.90      0.00      1.96      2.03     38.00      3.27     23.00      1.54      1.21         0         0         2       128
       420    947.87     -3.70     -5.78     85.47      2.18      0.00      2.18      2.25     25.00      3.96     16.00      1.97      0.93         0         0         2       128
       430    947.89     -3.90     -5.81     86.55      2.46      0.00      2.28      2.36     26.00      3.77     11.00      2.06      0.99         0         0         2       128
       440    947.96     -4.12     -5.90     87.37      2.66      0.00      1.93      2.02     22.00      3.72     31.00      1.78      0.73         0         0         2       128
       450    947.99     -4.31     -5.84     89.03      2.87      0.00      2.33      2.41     24.00      4.35     23.00      2.13      0.95         0         0         2       128
       460    948.06     -4.16     -5.79     88.42      3.07      0.00      2.42      2.52     16.00      4.46     16.00      2.33      0.67         0         0         2       128
       470    948.09     -4.30     -5.98     88.03      3.13      0.00      1.81      1.91     22.00      3.18     13.00      1.67      0.68         0         0         2       128
       480    948.07     -4.29     -5.90     88.51      3.18      0.00      2.06      2.14     20.00      4.21     18.00      1.93      0.71         0         0         2       128
       490    948.03     -4.04     -6.00     86.18      3.26      0.00      1.59      1.68     21.00      3.20     20.00      1.49      0.56         0         0         2       128
       500    947.97     -3.61     -5.78     84.89      3.62      0.00      1.58      1.69     43.00      3.42     75.00      1.15      1.08         0         0         2       128
       510    948.04     -3.89     -5.96     85.50      3.63      0.00      1.48      1.64     48.00      3.89     72.00      0.99      1.10         0         0         2       128
