;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse
;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse
;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet
;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet
;CO;CO;Hr;NO;NO;NO2;NO2;NOx;O3;O3;p;PM10;RainDur;SO2;SO2;StrGlo;T;WD;WVv
;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle 
;Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Summe);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Vektorielle Windmittelung(Richtung));Vertikale Verdichtung (Vektorielle Windmittelung(Betrag))
;mg/m3;ppm;%Hr;µg/m3;ppb;µg/m3;ppb;ppb;µg/m3;ppb;hPa;µg/m3;min;µg/m3;ppb;W/m2;°C;°;m/s
;h1;h1;h1;h1;h1;h1;h1;h1;h1;h1;h1;h1;h1;h1;h1;h1;h1;h1;h1
Startzeit;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet
06.01.2013 07:00;0.220941163;0.189785;83.141;0.432186181;0.3465;10.06113375;5.2613;5.6078;42.2860177;21.196;980.505;16.176312;0;1.272099459;0.477785;0.013238;5.71655;254.173128;1.516372616
06.01.2013 08:00;0.220789821;0.189655;81.854;0.438697038;0.35172;8.542258814;4.46703;4.81875;44.41268758;22.262;980.275;13.23764;0;1.152952874;0.433035;2.175125;5.64875;254.9434197;2.149017359
06.01.2013 09:00;0.221179817;0.18999;81.55;1.119674032;0.897685;9.895271239;5.174565;6.07225;42.70696268;21.407;979.91;12.38332;0;1.004878298;0.37742;19.5685;5.56795;247.8173705;1.832538883
06.01.2013 10:00;0.215277497;0.18492;81.663;1.181065674;0.946905;9.185295163;4.803295;5.7502;42.2550952;21.1805;979.915;13.703032;0;0.902958047;0.33914;60.954;5.5;263.0806269;2.225105929
06.01.2013 11:00;0.2122041;0.18228;81.3795;1.528991141;1.22585;11.01909565;5.76225;6.9881;42.44262519;21.2745;979.93;11.5393368;0;0.970092821;0.364355;75.9485;5.5808;271.2751843;2.081181989
06.01.2013 12:00;0.213705874;0.18357;81.5205;2.767737767;2.219;10.41987944;5.4489;7.6679;46.79272245;23.455;979.77;14.930704;0;0.791665818;0.29734;57.6205;5.45005;255.9997127;2.072782509
06.01.2013 13:00;0.225778271;0.19394;81.1585;2.195480855;1.7602;12.03433065;6.29315;8.05335;44.1383751;22.1245;979.44;12.307328;0;0.911105277;0.3422;48.653;5.5436;254.4120678;1.510903137
06.01.2013 14:00;0.227198553;0.19516;81.294;2.045182342;1.6397;14.30058607;7.47825;9.11795;41.55584774;20.83;979.53;11.2176216;0;1.012998903;0.38047;35.613;5.7256;272.8612076;1.35000333
06.01.2013 15:00;0.235731887;0.20249;83.1025;2.521273151;2.0214;17.62577232;9.2171;11.2385;35.90999805;18;979.41;13.5468;0;1.145231643;0.430135;20.541;5.4808;296.2040195;1.778706105
06.01.2013 16:00;0.254958081;0.219005;82.8615;5.370396628;4.30565;20.58551986;10.76485;15.0705;32.34692824;16.214;979.655;13.53972;0;1.517834297;0.57008;3.8563;5.51915;324.0234752;1.423598825
06.01.2013 17:00;0.278130797;0.23891;82.3415;6.832221173;5.47765;21.44605057;11.21485;16.6925;30.58434584;15.3305;979.815;12.573064;0;1.673323917;0.62848;0.0099828;5.2961;336.7832156;1.528074615
06.01.2013 18:00;0.278526613;0.23925;84.0725;4.275337875;3.4277;18.74484469;9.8023;13.23;30.37985835;15.228;979.73;13.722384;0;1.197163579;0.44964;0.0116103;5.1321;269.4533754;0.821142529
06.01.2013 19:00;0.263619473;0.226445;82.308;4.76003499;3.8163;20.02206348;10.4702;14.2865;30.28409835;15.18;979.47;16.101264;0;1.226837069;0.460785;0.0144315;5.2;197.1858296;1.385327702
06.01.2013 20:00;0.288032025;0.247415;83.7665;10.64861848;8.5374;25.06266988;13.1061;21.6435;25.44821862;12.756;979.705;15.681656;0;1.165852655;0.43788;0.00895175;4.9462;222.3691097;0.199224738
06.01.2013 21:00;0.276727977;0.237705;82.9755;4.360590186;3.49605;28.03121396;14.65845;18.1545;21.26071384;10.657;979.725;14.947696;0;1.714605879;0.643985;0.0110678;5.0014;280.8564237;0.387453029
06.01.2013 22:00;0.292764358;0.25148;81.95;6.137293233;4.9205;29.42728161;15.3885;20.309;18.66092974;9.35385;979.46;14.959024;0;2.06890389;0.777055;0.01030805;5.11415;288.8978545;0.667311924
06.01.2013 23:00;0.286774726;0.246335;85.5835;4.086622813;3.2764;30.38839879;15.8911;19.1675;16.15750412;8.099;979.365;15.637288;0;2.090283712;0.785085;0.0114475;4.37445;20.15813833;1.007040312
07.01.2013 00:00;0.314219929;0.26991;86.664;5.240740774;4.2017;30.12297287;15.7523;19.954;12.0052111;6.01765;979.345;12.905824;0;2.115710525;0.794635;0.012695;4.0513;32.15365463;1.111641926
07.01.2013 01:00;0.282409105;0.242585;86.1935;2.613260831;2.09515;22.5714335;11.80335;13.8985;20.77822312;10.41515;979.045;12.3760984;0;1.934474593;0.726565;0.014106;4.16675;24.24525773;1.021453876
07.01.2013 02:00;0.249870677;0.214635;86.6285;2.130746475;1.7083;16.79526458;8.7828;10.4911;27.657681;13.8635;978.78;13.460896;0;1.56667774;0.588425;0.01019955;4.0961;47.26121535;1.554884475
07.01.2013 03:00;0.263683502;0.2265;86.917;1.158545843;0.92885;13.8971884;7.2673;8.19615;32.11550825;16.098;978.35;13.320712;0;1.133742984;0.42582;0.010851;4.1179;99.95380413;1.421568633
07.01.2013 04:00;0.237123064;0.203685;87.5765;4.620463175;3.7044;15.47253327;8.0911;11.7955;31.87211827;15.976;977.83;9.1613064;0;1.409231187;0.52929;0.011176;4;77.9940344;1.141991061
07.01.2013 05:00;0.238944983;0.20525;87.8195;5.920825955;4.74695;18.09447471;9.4622;14.20915;30.63422083;15.3555;977.655;12.1899888;0;2.383490809;0.89521;0.012424;3.8795;53.40788967;1.238324772
07.01.2013 06:00;0.280918973;0.241305;88.7985;14.74072938;11.8182;29.09129218;15.2128;27.031;23.65072371;11.855;977.69;15.906328;0;1.379757383;0.51822;0.011936;3.78475;75.22907784;0.742430128
07.01.2013 07:00;0.41519383;0.356645;89.6245;37.27465494;29.8845;43.62030134;22.8105;52.695;13.07493004;6.55385;977.55;19.940984;0;1.245860585;0.46793;0.0156795;3.64475;74.75504594;1.039862117
07.01.2013 08:00;0.444100061;0.381475;91.1535;43.84600529;35.153;46.79087891;24.4685;59.6215;6.719558635;3.3682;977.71;21.699656;0;1.197988952;0.44995;8.43935;3.36285;52.45281585;1.392116856
07.01.2013 09:00;0.356677048;0.30638;91.3025;31.02385826;24.873;43.09250917;22.5345;47.4075;10.53050718;5.27845;978.085;22.421816;0;0.981954229;0.36881;26.4275;3.1986;26.23119618;1.68663727
07.01.2013 10:00;0.37567623;0.3227;89.176;31.20222082;25.016;36.44347527;19.0575;44.0735;12.28201733;6.1564;978.365;16.451488;0;0.970598694;0.364545;52.721;3.445;62.76620364;1.226774171
07.01.2013 11:00;0.358050763;0.30756;88.915;34.49569156;27.6565;36.0571926;18.8555;46.512;17.77495028;8.90975;978.165;13.729464;0;1.10264506;0.41414;72.0655;3.4809;44.22831464;2.088243904
07.01.2013 12:00;0.332118975;0.285285;87.455;28.25861508;22.656;31.90847847;16.686;39.342;19.12137571;9.58465;977.455;14.650336;0;1.133277047;0.425645;125.962;3.83465;57.73108887;1.03921051
07.01.2013 13:00;0.318341075;0.27345;83.208;15.96369778;12.7987;24.2292937;12.6703;25.469;21.17911835;10.6161;976.56;13.2389144;0;0.996105382;0.374125;113.198;4.5589;214.2362134;1.121405544
07.01.2013 14:00;0.345541804;0.296815;83.18;23.53200748;18.8665;37.64152524;19.684;38.5505;12.70276281;6.3673;976.615;16.331128;0;1.071866635;0.40258;60.1955;4.6245;205.3179145;0.646833767
07.01.2013 15:00;0.411625663;0.35358;81.0695;37.26530026;29.877;47.40281185;24.7885;54.6655;9.692706973;4.8585;976.97;21.510384;0;1.320263966;0.495875;25.6225;5.16905;342.8693345;0.204696522
07.01.2013 16:00;0.481621118;0.413705;79.4535;29.46100318;23.62;43.17091308;22.5755;46.1955;22.0188138;11.037;977.08;23.136424;0;1.314260043;0.49362;6.619;5.3167;57.67454568;1.297445906
07.01.2013 17:00;0.49822794;0.42797;78.285;41.09510595;32.9475;43.74555636;22.876;55.8235;21.85691956;10.95585;976.99;19.243368;0;0.966445204;0.362985;0.0148655;5.46665;106.3325068;0.790370906
07.01.2013 18:00;0.400048036;0.343635;78.3045;15.59923947;12.5065;32.8942642;17.2015;29.708;26.86367104;13.4655;976.945;16.59592;0;1.271433835;0.477535;0.010037;5.29615;148.6465428;1.220816915
07.01.2013 19:00;0.356234665;0.306;79.2855;11.06109747;8.8681;28.1104784;14.6999;23.568;25.8292636;12.947;977.03;18.22432;0;1.139347533;0.427925;0.010851;5.0334;168.709311;1.453896306
07.01.2013 20:00;0.324167724;0.278455;80.5875;7.341552275;5.886;25.38756803;13.276;19.162;26.17539608;13.1205;976.71;20.261472;0;1.008991851;0.378965;0.012153;4.7114;193.6976493;1.919195728
07.01.2013 21:00;0.291128705;0.250075;80.866;3.548155002;2.84469;20.84551487;10.90081;13.7455;25.84023609;12.9525;976.595;20.318112;0;0.859625965;0.322865;0.0118275;4.52815;252.5572914;0.849817379
07.01.2013 22:00;0.290866768;0.24985;81.871;2.232961937;1.79025;21.4028328;11.19225;12.9825;24.54747616;12.3045;976.405;19.849416;0;0.840549199;0.3157;0.01323805;4.31405;299.3230355;0.615175285
07.01.2013 23:00;0.265179455;0.227785;82.776;2.078135759;1.66612;19.78337139;10.34538;12.0115;24.43475867;12.248;976.345;19.4114;0;0.837074645;0.314395;0.014703;4.03715;282.9557217;0.694316892
08.01.2013 00:00;0.252635571;0.21701;82.2505;1.026139713;0.822695;18.01722773;9.421805;10.2445;25.55295611;12.8085;976.02;17.906192;0;0.904009732;0.339535;0.0130205;3.9781;268.3357433;0.781598634
08.01.2013 01:00;0.248205921;0.213205;81.969;1.846114768;1.4801;17.51447701;9.1589;10.639;25.41829362;12.741;975.94;21.128064;0;0.794993935;0.29859;0.0092773;3.7833;269.4253836;0.697343371
08.01.2013 02:00;0.237757535;0.20423;82.6745;0.462364377;0.370695;14.18021694;7.415305;7.786;28.36889846;14.22;975.925;19.004536;0;0.779937535;0.292935;0.0123695;3.4948;220.8121164;1.410185714
08.01.2013 03:00;0.230854033;0.1983;83.5435;2.100730428;1.684235;13.74442507;7.187415;8.87165;28.96939342;14.521;975.87;17.620632;0;0.72536973;0.27244;0.0155705;3.2281;206.4000469;1.175368512
08.01.2013 04:00;0.228112423;0.195945;83.1425;4.123561323;3.306015;16.13186233;8.435885;11.7419;24.98936864;12.526;975.705;20.695712;0;0.651938159;0.24486;0.013889;2.9448;250.1991009;0.778059171
08.01.2013 05:00;0.235062491;0.201915;82.2295;2.419930793;1.94015;20.64575701;10.79635;12.7365;20.71009387;10.381;975.395;24.071928;0;0.801024483;0.300855;0.013238;3.00655;249.9842999;0.925685801
08.01.2013 06:00;0.254923156;0.218975;81.556;7.088539384;5.68315;24.87000662;13.00535;18.6885;17.97006127;9.00755;975.265;24.282912;0;0.920450629;0.34571;0.0120445;3.06015;246.8553055;1.494781467
08.01.2013 07:00;0.335692963;0.288355;82.179;22.11009623;17.7265;36.36507137;19.0165;36.743;10.28252869;5.15415;975.48;26.180824;0;1.226198071;0.460545;0.0130753;2.90395;296.1533519;1.043692317
08.01.2013 08:00;0.352270681;0.302595;81.877;21.36109824;17.126;37.70463083;19.717;36.843;7.276163604;3.6472;975.785;25.140536;0;1.228807314;0.461525;9.1804;2.88335;270.6132966;1.080042506
08.01.2013 09:00;0.363499058;0.31224;81.097;26.18998367;20.9975;32.91434325;17.212;38.2095;12.04471209;6.03745;976.055;29.166224;0;0.88430728;0.332135;80.3435;2.86145;225.7841181;1.358728966
08.01.2013 10:00;0.37511161;0.322215;78.7745;24.24109216;19.435;28.19576656;14.7445;34.1795;18.21205476;9.12885;976.32;27.181464;0;1.044935513;0.392465;244.445;3.0618;163.8878707;1.640211018
08.01.2013 11:00;0.339901422;0.29197;74.6185;18.17863636;14.5745;24.58918677;12.8585;27.433;18.94082822;9.49415;976.38;25.04472;0;1.26546985;0.475295;327.055;3.99115;298.5966797;1.405485334
08.01.2013 12:00;0.352288143;0.30261;74.0135;32.14454884;25.7715;26.6343814;13.928;39.6995;18.37364975;9.20985;975.705;32.239888;0;1.233759552;0.463385;324.78;4.06295;272.9462388;1.05711924
08.01.2013 13:00;0.358865679;0.30826;69.2645;25.47528618;20.4245;28.13074868;14.7105;35.135;18.58262599;9.3146;975.21;37.620688;0;1.755834591;0.65947;307.83;5.15275;291.9876633;1.262403109
08.01.2013 14:00;0.369651673;0.317525;68.7355;23.89060351;19.154;31.49637988;16.4705;35.6245;16.50194085;8.27165;974.855;29.427712;0;1.401296956;0.52631;208.38;5.5425;277.5219774;1.135534246
08.01.2013 15:00;0.418342898;0.35935;66.9155;28.3746131;22.749;37.12138224;19.412;42.161;12.75084231;6.3914;974.845;29.96768;0;1.542728611;0.57943;121.704;6.13475;282.6861252;0.777587135
08.01.2013 16:00;0.542402202;0.465915;69.5525;71.3132145;57.1745;59.29152159;31.0055;88.18;4.244861019;2.12775;974.94;32.777968;0;1.822050804;0.68434;26.18545;5.9127;237.2775005;0.664843743
08.01.2013 17:00;0.606437129;0.52092;71.9145;53.37343428;42.7915;58.5476406;30.6165;73.408;1.675241309;0.83972;974.9;42.549784;0;1.943287446;0.729875;0.023166;5.5755;191.8722395;1.438746765
08.01.2013 18:00;0.727504528;0.624915;78.224;78.43461999;62.884;59.67111124;31.204;94.088;1.780976303;0.89272;974.79;44.650656;0;3.010374905;1.13066;0.01030825;4.82145;231.2672694;0.678343793
08.01.2013 19:00;0.765043047;0.65716;80.417;78.18453824;62.6835;55.54247616;29.045;91.7285;1.788906428;0.896695;974.92;41.093192;0;3.34236122;1.25535;0.0147025;4.0228;346.1231402;0.634892478
08.01.2013 20:00;0.727283336;0.624725;82.06;79.82721991;64.0005;58.14892804;30.408;94.4085;1.563581165;0.78375;974.94;41.507608;0;3.453786573;1.2972;0.0116645;3.4628;311.715617;0.49967805
08.01.2013 21:00;0.752574833;0.64645;84.4575;47.94647303;38.4405;47.14274035;24.6525;63.093;1.533885592;0.768865;974.75;40.751936;0;2.998899558;1.12635;0.0129123;2.9974;300.833754;0.488491194
08.01.2013 22:00;0.666234494;0.572285;85.4825;48.13730848;38.5935;45.19602867;23.6345;62.228;1.505676293;0.754725;974.69;39.449688;0;2.699688538;1.01397;0.01133905;2.67675;298.0353867;0.519959557
08.01.2013 23:00;0.595039948;0.51113;88.1465;52.86765796;42.386;42.98064018;22.476;64.862;1.528509067;0.76617;974.575;40.949704;0;1.881331222;0.706605;0.014974;1.55573;23.01704909;1.592714042
09.01.2013 00:00;0.501860136;0.43109;93.0825;21.41161351;17.1665;36.95883755;19.327;36.4935;1.3794327;0.691445;974.41;43.920944;0;0.785914832;0.29518;0.0080297;0.602695;15.18512361;2.367983933
09.01.2013 01:00;0.446073322;0.38317;94.6625;14.8876602;11.936;37.34512022;19.529;31.465;1.280181455;0.641695;974.09;32.581144;0;0.611068884;0.22951;0.012858;0.565305;18.14506181;1.746503738
09.01.2013 02:00;0.409873593;0.352075;95.6345;14.11309276;11.315;36.60315153;19.141;30.456;1.306335904;0.654805;974;29.464056;0;0.520064856;0.19533;0.01052505;0.447615;23.99625918;0.674010403
09.01.2013 03:00;0.38151452;0.327715;96.1555;14.35943265;11.5125;36.76856465;19.2275;30.74;1.268600481;0.63589;973.77;27.60532;0;0.644709489;0.242145;0.012912;0.30014;51.91926008;0.672935116
09.01.2013 04:00;0.383266589;0.32922;94.6125;16.2896148;13.06;37.05062749;19.375;32.435;1.326784653;0.665055;973.365;28.746616;0;0.720430805;0.270585;0.011556;0.51525;44.3037252;0.79214546
09.01.2013 05:00;0.374698331;0.32186;95.889;18.84032401;15.105;38.01250959;19.878;34.983;1.306176304;0.654725;972.855;27.618064;0;0.607980392;0.22835;0.0159505;0.305305;82.85985077;0.427574488
09.01.2013 06:00;0.41645695;0.35773;93.749;32.08779712;25.726;42.13253937;22.0325;47.7585;1.368131026;0.68578;972.61;30.941888;0;0.791745693;0.29737;0.01437705;0.500135;281.2112374;0.402460842
09.01.2013 07:00;0.48044531;0.412695;94.0095;50.31133594;40.3365;43.87463597;22.9435;63.28;1.364031301;0.683725;972.495;35.162512;0;0.825452861;0.31003;0.0169815;0.478055;286.9875261;0.653681509
09.01.2013 08:00;0.510288695;0.43833;93.8385;55.10217901;44.1775;44.0677773;23.0445;67.222;1.644039511;0.82408;972.425;35.164872;0;0.668339119;0.25102;5.5655;0.26814;292.1099817;0.855247251
09.01.2013 09:00;0.504462046;0.433325;91.8635;64.50238436;51.714;42.62782259;22.2915;74.0055;2.120485385;1.0629;972.085;33.050312;0;0.642819119;0.241435;28.7045;0.26825;279.3181569;0.839852991
09.01.2013 10:00;0.519572915;0.446305;89.5895;70.15385792;56.245;48.83033667;25.535;81.78;2.689060354;1.3479;971.915;39.8372;0;0.616526996;0.23156;60.3885;0.488695;274.0149154;0.816474563
09.01.2013 11:00;0.537390469;0.46161;87.8675;74.05226459;59.3705;44.8900622;23.4745;82.845;2.929457841;1.4684;971.385;39.800856;0;0.70783721;0.265855;67.6765;0.73189;287.6642822;0.814147373
09.01.2013 12:00;0.598305433;0.513935;88.2355;84.66670731;67.8805;49.22235621;25.74;93.6205;3.545015057;1.77695;970.465;48.730624;0;0.940858642;0.353375;108.4615;0.93865;261.1938317;0.573933551
09.01.2013 13:00;0.576442403;0.495155;85.0105;67.72538319;54.298;47.58830402;24.8855;79.1835;4.318177265;2.1645;969.555;46.911064;0;1.15266;0.432925;131.24;1.53005;264.9054139;0.695628702
09.01.2013 14:00;0.599778102;0.5152;82.3835;68.4980797;54.9175;45.39777531;23.74;78.6575;4.242167769;2.1264;969.255;44.688888;0;1.060724099;0.398395;124.58;1.7794;286.749673;0.81691111
09.01.2013 15:00;0.622013665;0.5343;81.4015;76.89982895;61.6535;48.54253696;25.3845;87.038;2.93803634;1.4727;968.955;38.323968;0;1.416260169;0.53193;73.664;2.0373;264.4730289;0.700885399
09.01.2013 16:00;0.682922807;0.58662;82.911;63.64861397;51.0295;46.35296439;24.2395;75.269;1.891180097;0.94796;968.87;42.88632;0;1.49077005;0.559915;16.17485;1.99475;293.4183454;0.790907734
09.01.2013 17:00;0.694855504;0.59687;84.6705;65.14660994;52.2305;46.33479763;24.23;76.4605;1.320470478;0.66189;968.315;33.016328;0;1.536671438;0.577155;0.015896;1.59745;263.3478613;0.697232516
09.01.2013 18:00;0.758139545;0.65123;86.0155;67.79336053;54.3525;45.95329569;24.0305;78.383;1.313877004;0.658585;968.02;32.819976;0;1.614216561;0.60628;0.0112303;1.3973;301.2523837;1.334593945
09.01.2013 19:00;0.649266781;0.55771;85.6635;47.98700997;38.473;46.09958591;24.107;62.58;1.345358102;0.674365;968.03;28.986864;0;1.353931197;0.50852;0.0130205;1.139315;303.8634771;1.06368245
09.01.2013 20:00;0.601204205;0.516425;87.723;48.80086707;39.1255;45.74389988;23.921;63.0465;1.350884252;0.677135;967.92;37.985544;0;1.220194148;0.45829;0.0107425;0.852665;302.7915485;1.023062462
09.01.2013 21:00;0.56833399;0.48819;86.989;37.94008446;30.418;42.07899523;22.0045;52.4225;1.279523105;0.641365;967.66;34.244472;0;1.42543246;0.535375;0.01215255;0.865335;319.0743509;1.268517127
09.01.2013 22:00;0.543118164;0.46653;87.3915;32.2748907;25.876;39.35780592;20.5815;46.4575;1.346904227;0.67514;967.405;30.353776;0;1.255432249;0.471525;0.0136175;0.702665;335.4532065;1.238778924
09.01.2013 23:00;0.536913161;0.4612;86.9605;29.87385636;23.951;38.45807326;20.111;44.062;1.254625507;0.628885;967.305;29.614152;0;1.132811111;0.42547;0.016005;0.751335;323.556338;0.813065573
10.01.2013 00:00;0.495270959;0.42543;87.2035;27.00758264;21.653;37.39770821;19.5565;41.2095;1.245767707;0.624445;967.105;28.7452;0;1.023995002;0.3846;0.0154625;0.797335;296.8371702;0.750884035
10.01.2013 01:00;0.487407021;0.418675;86.588;29.04191355;23.284;38.2515459;20.003;43.287;1.287383405;0.645305;966.53;32.525448;0;1.10367012;0.414525;0.0154625;0.924615;247.5125832;0.600934629
10.01.2013 02:00;0.495236034;0.4254;84.673;34.18262162;27.4055;38.45138025;20.1075;47.513;1.312490479;0.65789;966.395;31.783936;0;1.988363461;0.746805;0.0127495;1.4207;357.1020259;0.340814427
10.01.2013 03:00;0.469577825;0.40336;;28.51493329;22.8615;36.30292193;18.984;41.8455;1.410853948;0.707195;966.245;32.318712;60;3.03084948;1.13835;0.01145825;;45.2653281;1.133500293
10.01.2013 04:00;0.468314705;0.402275;91.425;34.54371224;27.695;37.43212944;19.5745;47.2695;1.254136732;0.62864;965.525;26.696248;60;1.702691221;0.63951;0.015842;1.28735;170.1516006;1.153123351
10.01.2013 05:00;0.512186285;0.43996;92.554;51.08029058;40.953;40.01658998;20.926;61.879;1.258236457;0.630695;965.385;29.515032;60;2.335872113;0.877325;0.015082;1.6181;7.755856829;0.264762768
10.01.2013 06:00;0.506976644;0.435485;93.806;49.8342473;39.954;41.95278406;21.9385;61.8925;1.19311966;0.598055;965.33;32.1436;60;1.771410178;0.66532;0.018934;1.51535;273.9876401;0.782031701
10.01.2013 07:00;0.565831034;0.48604;93.918;68.09894671;54.5975;47.95641994;25.078;79.6755;1.19667076;0.599835;965.56;25.358128;11.45;1.301320325;0.48876;0.016005;1.4694;260.5570258;0.525751541
10.01.2013 08:00;0.6688073;0.574495;93.4605;89.59849421;71.8345;52.11373938;27.252;99.0865;1.3701759;0.686805;965.61;24.694024;0.41667;1.69270687;0.63576;1.7656;1.92475;293.7584922;0.59729576
10.01.2013 09:00;0.623428126;0.535515;92.785;74.60169608;59.811;44.37756836;23.2065;83.0175;1.477686445;0.740695;965.645;28.517696;29.117;1.935938964;0.727115;11.36375;2.0628;281.414436;0.825179814
10.01.2013 10:00;0.698906801;0.60035;92.845;123.4892498;99.006;59.86234029;31.304;130.31;1.917913096;0.96136;965.525;26.021288;60;1.458487316;0.54779;43.377;2.158;191.4866973;0.660050696
10.01.2013 11:00;0.666694339;0.57268;92.098;82.7770621;66.3655;53.16741142;27.803;94.1685;2.230808879;1.1182;965.24;27.895128;39.3333;1.480160014;0.55593;43.819;2.78735;263.4216473;0.791532279
10.01.2013 12:00;0.5934334;0.50975;90.0375;46.43288593;37.227;43.6174329;22.809;60.036;4.622713999;2.31715;964.775;26.235104;0;1.460683874;0.548615;71.695;2.97045;263.5419792;1.209908155
10.01.2013 13:00;0.560353635;0.481335;86.8775;32.1963114;25.813;39.05662018;20.424;46.237;4.851640236;2.4319;964.135;29.964376;4.6333;1.160501043;0.43587;62.789;3.0693;243.887356;2.475944255
10.01.2013 14:00;0.499590013;0.42914;85.504;25.40730884;20.37;40.1925207;21.018;41.388;7.006439619;3.512;963.615;29.780296;0;1.078309869;0.405;62.2755;3.4359;240.4688746;2.5625698
10.01.2013 15:00;0.514642674;0.44207;85.9235;53.925984;43.2345;55.59315185;29.0715;72.306;2.820630597;1.41385;963.445;27.990472;0;1.21718553;0.45716;7.28305;3.54875;247.8782336;0.635711716
10.01.2013 16:00;0.532774553;0.457645;86.5785;23.30188237;18.682;49.09327661;25.6725;44.3545;6.402154152;3.2091;963.125;23.14728;31.2663;1.209624049;0.45432;1.97235;3.65255;245.007204;1.736148648
10.01.2013 17:00;0.511429577;0.43931;86.0655;16.32017342;13.0845;49.45183107;25.86;38.9445;7.875062572;3.9474;962.605;19.355232;1.1667;1.221738394;0.45887;0.0118275;3.77205;253.6576495;1.465947747
10.01.2013 18:00;0.521324984;0.44781;86.7125;23.67482225;18.981;51.19583996;26.772;45.753;7.660799583;3.84;962.27;15.91152;8.05;1.414569486;0.531295;0.01182705;3.7974;278.1386865;0.716408255
10.01.2013 19:00;0.492645766;0.423175;90.5975;26.68827626;21.397;51.44061314;26.9;48.297;3.358981317;1.6837;962.135;19.020112;60;1.47560715;0.55422;0.0174155;3.4947;280.3406366;0.909501482
10.01.2013 20:00;0.43720238;0.37555;90.1985;7.472268327;5.9908;38.4727979;20.1187;26.1095;11.13648839;5.5822;961.67;18.379136;60;1.035017725;0.38874;0.01470255;3.454;237.6925446;2.321476853
10.01.2013 21:00;0.368173183;0.316255;89.154;3.034034303;2.4325;26.19551075;13.6985;16.131;20.12815241;10.0893;961.74;15.41828;60;1.017684892;0.38223;0.016493;3.49465;245.5399135;2.031088244
10.01.2013 22:00;0.344406743;0.29584;91.018;3.388414499;2.71662;25.44088269;13.30388;16.0205;19.3238682;9.68615;961.645;11.9480416;60;0.894864067;0.3361;0.015462;2.99475;253.0573404;1.700506086
10.01.2013 23:00;0.352998284;0.30322;91.122;6.349644452;5.09075;28.40085971;14.85175;19.9425;17.30133731;8.67235;961.475;8.6847752;60;1.063772654;0.39954;0.010905;2.91665;321.847784;0.607522042
11.01.2013 00:00;0.330262131;0.28369;90.6475;4.85782257;3.8947;26.0134607;13.6033;17.498;19.71019993;9.8798;961.03;9.2467384;60;0.970598694;0.364545;0.0126955;3.1541;37.12912962;0.150558185
11.01.2013 01:00;0.290983185;0.24995;90.689;2.575280833;2.0647;17.99809527;9.4118;11.4765;25.6955986;12.88;960.64;5.5191656;60;0.952240802;0.35765;0.013509;3.31935;252.1114432;1.228548198
