;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse
;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse
;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet
;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet
;CO;CO;Hr;NO;NO;NO2;NO2;NOx;O3;O3;p;PM10;RainDur;SO2;SO2;StrGlo;T;WD;WVv
;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle 
;Umrechnung ([ppb]->[ug/m3] Station);Kanalberechnungen (Eichkorrektur);;Umrechnung ([ppb]->[ug/m3] Station);Kanalberechnungen (Eichkorrektur);Umrechnung ([ppb]->[ug/m3] Station);Kanalberechnungen (Subtraktion);Kanalberechnungen (Eichkorrektur);Umrechnung ([ppb]->[ug/m3] Station);Kanalberechnungen (Eichkorrektur);;Horizontale Verdichtung (Erster Messwert);;Kanalberechnungen (Eichkorrektur);Umrechnung ([ppb]->[ug/m3] Station);;;;
;mg/m3;ppm;%Hr;µg/m3;ppb;µg/m3;ppb;ppb;µg/m3;ppb;hPa;µg/m3;min;ppb;µg/m3;W/m2;°C;°;m/s
;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30
Startzeit;Berechnet;Berechnet;Final;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Final;Berechnet;Final;Berechnet;Berechnet;Final;Final;Final;Final
06.01.2013 03:30;0.25199528;0.21646;81.736;1.389232233;1.1138;17.55138422;9.1782;10.292;35.10601309;17.597;981.53;12.564096;0;0.44869;1.19463421;0.015516;5.9051;232.93;1.2747
06.01.2013 04:00;0.237559626;0.20406;80.051;0.682130738;0.54689;12.75040694;6.66761;7.2145;41.49001274;20.797;981.43;16.052176;0;0.44982;1.197642828;0.0094401;5.9308;250.51;1.651
06.01.2013 04:30;0.241191823;0.20718;79.579;0.363310796;0.29128;9.544279888;4.99102;5.2823;43.78226762;21.946;981.41;13.078576;0;0.36846;0.981022356;0.008355;5.9308;249.44;1.5052
06.01.2013 05:00;0.239899599;0.20607;81.433;0.599734723;0.48083;12.33823185;6.45207;6.9329;38.6371629;19.367;981.12;13.456176;0;0.42378;1.128311497;0.012587;5.7333;258.81;0.98742
06.01.2013 05:30;0.23561547;0.20239;81.467;1.505729172;1.2072;11.99771029;6.274;7.4812;39.91795283;20.009;980.79;11.633312;0;0.42931;1.143035086;0.017578;5.7641;244.71;1.8364
06.01.2013 06:00;0.231308057;0.19869;82.897;0.31361874;0.25144;9.708048442;5.07666;5.3281;42.07853771;21.092;980.45;16.064448;0;0.43602;1.160900417;0.01378;5.7026;247.99;1.6048
06.01.2013 06:30;0.224253214;0.19263;83.057;0.557538883;0.447;9.656684321;5.0498;5.4968;41.68153273;20.893;980.5;14.859904;0;0.44688;1.189815097;0.010525;5.6948;271.36;1.3154
06.01.2013 07:00;0.222623382;0.19123;83.436;0.529961289;0.42489;11.20374642;5.85881;6.2837;41.50198274;20.803;980.58;17.71928;0;0.49774;1.325229517;0.013021;5.6999;263.56;1.1474
06.01.2013 07:30;0.219258944;0.18834;82.846;0.334411074;0.26811;8.918521084;4.66379;4.9319;43.07005266;21.589;980.43;14.633344;0;0.45783;1.218969401;0.013455;5.7332;248.55;1.9099
06.01.2013 08:00;0.220981909;0.18982;82.436;0.324707153;0.26033;9.097855682;4.75757;5.0179;43.31144764;21.71;980.29;13.982928;0;0.45331;1.20693493;0.43045;5.6693;252.65;2.1569
06.01.2013 08:30;0.220597734;0.18949;81.272;0.552686923;0.44311;7.986661947;4.17649;4.6196;45.51392752;22.814;980.26;12.492352;0;0.41276;1.098970819;3.9198;5.6282;257.25;2.1446
06.01.2013 09:00;0.218292686;0.18751;81.441;0.831531202;0.66667;8.535948256;4.46373;5.1304;44.77577756;22.444;979.95;12.100592;0;0.34381;0.915391892;14.119;5.5333;253.25;1.9552
06.01.2013 09:30;0.224066947;0.19247;81.659;1.407816863;1.1287;11.25459422;5.8854;7.0141;40.63814779;20.37;979.87;12.666048;0;0.41103;1.094364705;25.018;5.6026;241.67;1.7286
06.01.2013 10:00;0.216290321;0.18579;81.467;1.114591323;0.89361;8.608347572;4.50159;5.3952;42.3259177;21.216;980;14.487968;0;0.34132;0.908762283;44.237;5.5974;269.43;2.3886
06.01.2013 10:30;0.214264673;0.18405;81.859;1.247540025;1.0002;9.762242754;5.105;6.1052;42.18427271;21.145;979.83;12.918096;0;0.33696;0.897153811;77.671;5.4026;255.83;2.093
06.01.2013 11:00;0.211901417;0.18202;81.464;1.255772143;1.0068;10.51912731;5.5008;6.5076;41.42417775;20.764;979.73;11.2216336;0;0.34539;0.919598631;75.398;5.5667;262.75;2.1945
06.01.2013 11:30;0.212506783;0.18254;81.295;1.80221014;1.4449;11.51906399;6.0237;7.4686;43.46107264;21.785;980.13;11.85704;0;0.38332;1.02058701;76.499;5.5949;280.55;2.0185
06.01.2013 12:00;0.212995733;0.18296;81.941;4.169318177;3.3427;11.90018348;6.223;9.5657;44.80171256;22.457;979.81;13.6648;0;0.31306;0.833520216;62.004;5.4333;251.73;2.0132
06.01.2013 12:30;0.214416015;0.18418;81.1;1.366157358;1.0953;8.939575401;4.6748;5.7701;48.78373235;24.453;979.73;16.196608;0;0.28162;0.749811421;53.237;5.4668;260.01;2.1432
06.01.2013 13:00;0.222390549;0.19103;80.866;2.345405182;1.8804;11.81489532;6.1784;8.0588;45.21667254;22.665;979.26;11.90424;0;0.30777;0.819435626;52.762;5.5334;237.11;1.8714
06.01.2013 13:30;0.229165993;0.19685;81.451;2.045556529;1.64;12.25376598;6.4079;8.0479;43.06007766;21.584;979.62;12.710416;0;0.37663;1.002774928;44.544;5.5538;278.67;1.3547
06.01.2013 14:00;0.231296416;0.19868;80.244;1.856467279;1.4884;13.79870544;7.2158;8.7042;42.15434771;21.13;979.87;10.4318832;0;0.4165;1.108928544;33.074;5.8512;291.88;1.3535
06.01.2013 14:30;0.22310069;0.19164;82.344;2.233897405;1.791;14.8024667;7.7407;9.5317;40.95734777;20.53;979.19;12.00336;0;0.34444;0.917069262;38.152;5.6;255.61;1.4873
06.01.2013 15:00;0.241401373;0.20736;82.497;2.241381148;1.797;18.56834028;9.71;11.507;35.82620805;17.958;979.39;14.59936;0;0.45737;1.217744654;24.66;5.5923;298.28;1.7214
06.01.2013 15:30;0.2300624;0.19762;83.708;2.801165155;2.2458;16.68320435;8.7242;10.97;35.99378804;18.042;979.43;12.49424;0;0.4029;1.072718633;16.422;5.3693;294.26;1.8382
06.01.2013 16:00;0.255103602;0.21913;82.398;4.091237788;3.2801;20.3408423;10.6369;13.917;32.16538325;16.123;979.56;12.200656;0;0.53498;1.424380775;6.9511;5.6307;323.18;1.4093
06.01.2013 16:30;0.25481256;0.21888;83.325;6.649555469;5.3312;20.83019743;10.8928;16.224;32.52847323;16.305;979.75;14.878784;0;0.60518;1.611287819;0.7615;5.4076;324.85;1.4382
06.01.2013 17:00;0.266174816;0.22864;81.939;7.089350123;5.6838;22.49656733;11.7642;17.448;30.44968334;15.263;979.91;11.284976;0;0.63967;1.70311722;0.0091146;5.3921;347.62;1.8903
06.01.2013 17:30;0.290086777;0.24918;82.744;6.575092222;5.2715;20.39553381;10.6655;15.937;30.71900833;15.398;979.72;13.861152;0;0.61729;1.643530615;0.010851;5.2001;320.28;1.2511
06.01.2013 18:00;0.287188005;0.24669;83.322;3.83304864;3.0731;17.82618036;9.3219;12.395;30.59531834;15.336;979.78;14.059392;0;0.52403;1.395226471;0.0086806;5.2258;292.22;0.78427
06.01.2013 18:30;0.269865221;0.23181;84.823;4.71762711;3.7823;19.66350902;10.2827;14.065;30.16439836;15.12;979.68;13.385376;0;0.37525;0.999100687;0.01454;5.0384;251.18;0.96793
06.01.2013 19:00;0.265557808;0.22811;83.131;3.373920983;2.705;20.33529666;10.634;13.339;28.67014344;14.371;979.47;15.679296;0;0.45598;1.214043788;0.013129;5.2;212.04;1.296
06.01.2013 19:30;0.261681137;0.22478;81.485;6.146148996;4.9276;19.70883031;10.3064;15.234;31.89805327;15.989;979.47;16.523232;0;0.46559;1.23963035;0.015734;5.2;184.84;1.5539
06.01.2013 20:00;0.294627023;0.25308;82.283;14.92258434;11.964;24.07573678;12.59;24.554;27.29558852;13.682;979.64;15.78408;0;0.36356;0.967976138;0.0071615;5.1256;198.95;0.36347
06.01.2013 20:30;0.281437027;0.24175;85.25;6.374652628;5.1108;26.04960298;13.6222;18.733;23.60084872;11.83;979.77;15.579232;0;0.5122;1.363729173;0.010742;4.7668;288.17;0.15838
06.01.2013 21:00;0.275150533;0.23635;83.438;3.120097353;2.5015;26.644899;13.9335;16.435;21.64574882;10.85;979.76;14.761728;0;0.64232;1.710172827;0.0093316;4.9412;300.73;0.30439
06.01.2013 21:30;0.278305421;0.23906;82.513;5.601083019;4.4906;29.41752893;15.3834;19.874;20.87567886;10.464;979.69;15.133664;0;0.64565;1.719038931;0.012804;5.0616;268.9;0.49948
06.01.2013 22:00;0.292205558;0.251;82.212;8.164514591;6.5458;28.13591187;14.7132;21.259;20.87168886;10.462;979.58;17.324688;0;0.63852;1.700055352;0.011827;5.0437;275.3;0.60195
06.01.2013 22:30;0.293323157;0.25196;81.688;4.110071875;3.2952;30.71865135;16.0638;19.359;16.45017061;8.2457;979.34;12.59336;0;0.91559;2.437752427;0.0087891;5.1846;299.59;0.76279
06.01.2013 23:00;0.279178546;0.23981;85.213;2.16978667;1.7396;26.68869045;13.9564;15.696;20.1874039;10.119;979.27;14.3728;0;0.74574;1.985527905;0.012804;4.5898;325.43;0.72223
06.01.2013 23:30;0.294370906;0.25286;85.954;6.003458956;4.8132;34.08810713;17.8258;22.639;12.12760434;6.079;979.46;16.901776;0;0.82443;2.195039519;0.010091;4.1591;40.423;1.7024
07.01.2013 00:00;0.334837302;0.28762;86.254;6.436892427;5.1607;27.91045282;14.5953;19.756;14.52320021;7.2798;979.4;13.829056;0;0.72303;1.925062678;0.010091;4.1307;36.824;1.1525
07.01.2013 00:30;0.293602557;0.2522;87.074;4.044589121;3.2427;32.33549293;16.9093;20.152;9.487221984;4.7555;979.29;11.982592;0;0.86624;2.306358373;0.015299;3.9719;27.163;1.0787
07.01.2013 01:00;0.299446668;0.25722;86.018;3.403731227;2.7289;27.26562848;14.2581;16.987;14.6618527;7.3493;979.07;14.672992;0;0.84366;2.246239269;0.012478;4.1975;25.378;1.0963
07.01.2013 01:30;0.265371542;0.22795;86.369;1.822790434;1.4614;17.87723851;9.3486;10.81;26.89459354;13.481;979.02;10.0792048;0;0.60947;1.622709916;0.015734;4.136;22.934;0.94707
07.01.2013 02:00;0.250109331;0.21484;86.221;3.034782678;2.4331;16.87768429;8.8259;11.259;27.69458849;13.882;978.81;12.104368;0;0.64825;1.725961414;0.010525;4.1333;33.308;1.5811
07.01.2013 02:30;0.249632023;0.21443;87.036;1.226710272;0.9835;16.71284486;8.7397;9.7232;27.6207735;13.845;978.75;14.817424;0;0.5286;1.407394066;0.0098741;4.0589;60.866;1.6208
07.01.2013 03:00;0.235999645;0.20272;87.513;1.019036393;0.817;13.59045701;7.1069;7.9239;32.81176322;16.447;978.49;13.951776;0;0.43313;1.153205811;0.011502;3.9769;85.969;1.4574
07.01.2013 03:30;0.291367359;0.25028;86.321;1.298055293;1.0407;14.20391978;7.4277;8.4684;31.41925329;15.749;978.21;12.689648;0;0.41851;1.114280156;0.0102;4.2589;113.8;1.4717
07.01.2013 04:00;0.242402555;0.20822;88.064;3.145417351;2.5218;16.36385185;8.5572;11.079;30.46165334;15.269;977.95;11.756032;0;0.43926;1.169526896;0.010742;3.9333;109.45;1.2378
07.01.2013 04:30;0.231843574;0.19915;87.089;6.095508999;4.887;14.58121469;7.625;12.512;33.28258319;16.683;977.71;6.5665808;0;0.61932;1.648935477;0.01161;4.0667;50.251;1.3876
07.01.2013 05:00;0.227233478;0.19519;87.131;3.917240754;3.1406;12.80221088;6.6947;9.8353;35.37533808;17.732;977.62;9.9580896;0;1.0778;2.869635498;0.013129;3.9615;57.68;1.7033
07.01.2013 05:30;0.250656489;0.21531;88.508;7.924411157;6.3533;23.38673853;12.2297;18.583;25.89310359;12.979;977.69;14.421888;0;0.71262;1.897346121;0.011719;3.7975;44.146;0.78836
07.01.2013 06:00;0.244113879;0.20969;88.636;11.60404306;9.3034;25.85531427;13.5206;22.824;26.16043358;13.113;977.7;14.798544;0;0.53225;1.417112167;0.012587;3.7949;73.044;0.65843
07.01.2013 06:30;0.317724068;0.27292;88.961;17.87741569;14.333;32.32727008;16.905;31.238;21.14101385;10.597;977.68;17.014112;0;0.50419;1.3424026;0.011285;3.7746;76.968;0.82729
07.01.2013 07:00;0.294557173;0.25302;90.034;29.340016;23.523;35.79807725;18.72;42.243;16.39311361;8.2171;977.63;20.21616;0;0.48332;1.28683636;0.012587;3.5613;87.814;0.93385
07.01.2013 07:30;0.535830487;0.46027;89.215;45.20929388;36.246;51.44252543;26.901;63.147;9.756746469;4.8906;977.47;19.665808;0;0.45254;1.20488481;0.018772;3.7282;64.532;1.1889
07.01.2013 08:00;0.440147719;0.37808;90.779;47.96206416;38.453;45.93512893;24.021;62.474;7.611323586;3.8152;977.65;20.389856;0;0.49393;1.315085416;2.7947;3.4282;56.816;1.4025
07.01.2013 08:30;0.448052403;0.38487;91.528;39.72994642;31.853;47.64662888;24.916;56.769;5.827793683;2.9212;977.77;23.009456;0;0.40597;1.080892488;14.084;3.2975;48.05;1.3899
07.01.2013 09:00;0.371566725;0.31917;91.549;34.10092409;27.34;45.55267084;23.821;51.161;8.692015027;4.3569;978.01;23.748608;0;0.37713;1.004106175;20.902;3.2358;24.288;1.7642
07.01.2013 09:30;0.34178737;0.29359;91.056;27.94679244;22.406;40.63234751;21.248;43.654;12.36899933;6.2;978.16;21.095024;0;0.36049;0.959802283;31.953;3.1614;28.359;1.6112
07.01.2013 10:00;0.374349081;0.32156;88.969;32.32478233;25.916;37.18257553;19.444;45.36;13.88799224;6.9614;978.34;16.87912;0;0.35752;0.951894677;64.308;3.3462;67.882;1.1819
07.01.2013 10:30;0.377003379;0.32384;89.383;30.07965931;24.116;35.70437501;18.671;42.787;10.67604242;5.3514;978.39;16.023856;0;0.37157;0.989302711;41.134;3.5438;58.046;1.2807
07.01.2013 11:00;0.376269954;0.32321;88.423;24.13881434;19.353;31.04794777;16.236;35.589;16.5981996;8.3199;978.23;14.42;0;0.44519;1.185315483;53.912;3.5847;46.028;2.2954
07.01.2013 11:30;0.339831572;0.29191;89.407;44.85256878;35.96;41.06643744;21.475;57.435;18.95170097;9.4996;978.1;13.038928;0;0.38309;1.019974636;90.219;3.3771;42.035;1.8836
07.01.2013 12:00;0.332695237;0.28578;88.951;31.80715674;25.501;37.2495057;19.479;44.98;15.77506264;7.9073;977.72;11.995808;0;0.46661;1.242346094;96.714;3.6667;33.534;1.3296
07.01.2013 12:30;0.331542713;0.28479;85.959;24.71007342;19.811;26.56745124;13.893;33.704;22.46768878;11.262;977.19;17.304864;0;0.38468;1.024208001;155.21;4.0026;89.924;1.0229
07.01.2013 13:00;0.325314427;0.27944;84.21;22.12942923;17.742;23.41408428;12.244;29.986;22.49960878;11.278;976.59;15.471616;0;0.4004;1.066062399;139.7;4.3897;186.13;1.1132
07.01.2013 13:30;0.311367724;0.26746;82.206;9.797966317;7.8554;25.04450312;13.0966;20.952;19.85862792;9.9542;976.53;11.0062128;0;0.34785;0.926148365;86.696;4.7281;236.82;1.3656
07.01.2013 14:00;0.352451127;0.30275;83.658;21.88745486;17.548;35.51505826;18.572;36.12;13.54804426;6.791;976.53;14.3256;0;0.39435;1.049954313;72.151;4.5078;219.96;0.68639
07.01.2013 14:30;0.338632481;0.29088;82.702;25.17656009;20.185;39.76799222;20.796;40.981;11.85748136;5.9436;976.7;18.336656;0;0.41081;1.093778956;48.24;4.7412;189.91;0.65304
07.01.2013 15:00;0.388645034;0.33384;81.498;40.724037;32.65;48.88770539;25.565;58.215;7.230478107;3.6243;976.84;20.184064;0;0.44587;1.187125979;34.02;5.0359;205.57;0.43421
07.01.2013 15:30;0.434606291;0.37332;80.641;33.80656352;27.104;45.91791831;24.012;51.116;12.15493584;6.0927;977.1;22.836704;0;0.54588;1.453401954;17.225;5.3022;4.8785;0.78576
07.01.2013 16:00;0.488856407;0.41992;79.389;33.70927485;27.026;47.56057581;24.871;51.897;21.50809383;10.781;977.09;20.58904;0;0.57697;1.536178877;12.226;5.3334;48.447;1.4858
07.01.2013 16:30;0.474385829;0.40749;79.518;25.21273151;20.214;38.78125035;20.28;40.494;22.52953377;11.293;977.07;25.683808;0;0.41027;1.09234121;1.012;5.3;69.598;1.1532
07.01.2013 17:00;0.56292062;0.48354;78.09;41.97506944;33.653;44.0190139;23.019;56.672;18.99379547;9.5207;976.99;20.031136;0;0.3683;0.980596357;0.017578;5.5359;112.75;0.83314
07.01.2013 17:30;0.433535259;0.3724;78.48;40.21514245;32.242;43.47209883;22.733;54.975;24.72004366;12.391;976.99;18.4556;0;0.35767;0.952294051;0.012153;5.3974;99.281;0.75856
07.01.2013 18:00;0.37933171;0.32584;78.212;17.96098416;14.4;34.46329851;18.022;32.422;27.24172352;13.655;976.92;16.50152;0;0.51494;1.371024405;0.011719;5.3333;136.67;1.3103
07.01.2013 18:30;0.420764362;0.36143;78.397;13.23749478;10.613;31.32522988;16.381;26.994;26.48561856;13.276;976.97;16.69032;0;0.44013;1.171843266;0.008355;5.259;161.84;1.1913
07.01.2013 19:00;0.383930164;0.32979;78.987;14.12556567;11.325;28.87367352;15.099;26.424;24.89959365;12.481;976.96;16.828144;0;0.41649;1.108901919;0.011502;5.0642;170.69;1.4831
07.01.2013 19:30;0.328539166;0.28221;79.584;7.996629281;6.4112;27.34728328;14.3008;20.712;26.75893354;13.413;977.1;19.620496;0;0.43936;1.169793146;0.0102;5.0026;166.65;1.4265
07.01.2013 20:00;0.340902604;0.29283;80.19;9.881160598;7.9221;28.27493538;14.7859;22.708;24.05770369;12.059;976.82;18.245088;0;0.41849;1.114226906;0.01237;4.8614;188.93;1.9389
07.01.2013 20:30;0.307432844;0.26408;80.985;4.801943953;3.8499;22.50020068;11.7661;15.616;28.29308846;14.182;976.6;22.277856;0;0.33944;0.903756795;0.011936;4.5614;198.53;1.913
07.01.2013 21:00;0.295185822;0.25356;81.026;1.164694985;0.93378;20.78319333;10.86822;11.802;25.21081363;12.637;976.67;20.41912;0;0.35238;0.938209461;0.011502;4.5667;249.2;1.2004
07.01.2013 21:30;0.287071588;0.24659;80.706;5.931615019;4.7556;20.90783642;10.9334;15.689;26.46965856;13.268;976.52;20.217104;0;0.29335;0.781042469;0.012153;4.4896;260.54;0.5062
07.01.2013 22:00;0.275581274;0.23672;80.988;2.366359663;1.8972;21.53392031;11.2608;13.158;25.50607361;12.785;976.48;20.346432;0;0.31331;0.83418584;0.0098741;4.4026;341.04;0.73162
07.01.2013 22:30;0.306152262;0.26298;82.754;2.099564211;1.6833;21.27174529;11.1237;12.807;23.58887872;11.824;976.33;19.3524;0;0.31809;0.846912559;0.016602;4.2255;263.89;0.83977
07.01.2013 23:00;0.27126222;0.23301;82.574;3.152277449;2.5273;20.82426933;10.8897;13.417;23.8282787;11.944;976.45;20.313392;0;0.33181;0.883441969;0.01237;4.0052;258.51;0.59297
07.01.2013 23:30;0.25909669;0.22256;82.978;1.003994069;0.80494;18.74247345;9.80106;10.606;25.04123864;12.552;976.24;18.509408;0;0.29698;0.790707321;0.017036;4.0691;299.08;0.88358
08.01.2013 00:00;0.258316699;0.22189;81.609;1.045441534;0.83817;18.25057498;9.54383;10.382;25.62776861;12.846;976.19;16.906496;0;0.38272;1.018989514;0.012695;4.1203;293.78;0.82218
08.01.2013 00:30;0.246954443;0.21213;82.892;1.006837891;0.80722;17.78388049;9.29978;10.107;25.47814361;12.771;975.85;18.905888;0;0.29635;0.78902995;0.013346;3.8359;245.05;0.89355
08.01.2013 01:00;0.250062765;0.2148;81.941;2.009385103;1.611;17.74796768;9.281;10.892;25.51804361;12.791;975.9;21.129008;0;0.30207;0.804259413;0.008572;3.8359;277.7;0.74006
08.01.2013 01:30;0.246349077;0.21161;81.997;1.682844433;1.3492;17.28098635;9.0368;10.386;25.31854362;12.691;975.98;21.12712;0;0.29511;0.785728458;0.0099826;3.7307;260.29;0.67084
08.01.2013 02:00;0.236837844;0.20344;82.265;0.626626308;0.50239;14.50321236;7.58421;8.0866;27.99583348;14.033;975.94;18.179008;0;0.30321;0.807294655;0.012044;3.6177;222.91;1.5573
08.01.2013 02:30;0.238677225;0.20502;83.084;0.298102445;0.239;13.85722153;7.2464;7.4854;28.74196344;14.407;975.91;19.830064;0;0.28266;0.752580414;0.012695;3.3719;218.23;1.2654
08.01.2013 03:00;0.231249849;0.19864;83.421;0.486031715;0.38967;12.38328541;6.47563;6.8653;29.4661484;14.77;975.91;18.012864;0;0.27708;0.7377237;0.013129;3.3255;201.08;1.2909
08.01.2013 03:30;0.230458216;0.19796;83.666;3.71542914;2.9788;15.10556473;7.8992;10.878;28.47263845;14.272;975.83;17.2284;0;0.2678;0.71301576;0.018012;3.1307;212.81;1.0721
08.01.2013 04:00;0.226837662;0.19485;83.146;7.376102224;5.9137;16.26460397;8.5053;14.419;25.7255236;12.895;975.78;19.133392;0;0.26404;0.703004785;0.014974;2.9641;226.09;0.7057
08.01.2013 04:30;0.229387184;0.19704;83.139;0.871020421;0.69833;15.99912069;8.36647;9.0648;24.25321368;12.157;975.63;22.258032;0;0.22568;0.600871534;0.012804;2.9255;267.74;0.95645
08.01.2013 05:00;0.23223939;0.19949;82.717;2.299504889;1.8436;20.33414928;10.6334;12.477;20.46470889;10.258;975.4;23.333248;0;0.27135;0.722467612;0.016059;2.9745;275.97;0.53409
08.01.2013 05:30;0.237885593;0.20434;81.742;2.540356697;2.0367;20.95736474;10.9593;12.996;20.95547886;10.504;975.39;24.810608;0;0.33036;0.879581354;0.010417;3.0386;240.3;1.3911
08.01.2013 06:00;0.255604193;0.21956;81.15;6.42067765;5.1477;26.80706123;14.0183;19.166;15.79860364;7.9191;975.24;22.556336;0;0.35907;0.956021542;0.013672;3.0947;247.81;1.5336
08.01.2013 06:30;0.254242119;0.21839;81.962;7.756401118;6.2186;22.93295201;11.9924;18.211;20.1415189;10.096;975.29;26.009488;0;0.33235;0.884879716;0.010417;3.0256;245.85;1.4564
08.01.2013 07:00;0.346967907;0.29804;81.727;25.75280833;20.647;36.78673141;19.237;39.884;11.73818036;5.8838;975.48;24.227216;0;0.48097;1.2805795;0.0091146;3.0386;297.63;1.0603
08.01.2013 07:30;0.32441802;0.27867;82.631;18.46738413;14.806;35.94341132;18.796;33.602;8.82687702;4.4245;975.48;28.134432;0;0.44012;1.171816641;0.017036;2.7693;294.63;1.0278
08.01.2013 08:00;0.363894874;0.31258;81.88;25.27010688;20.26;40.96126147;21.42;41.68;6.395371152;3.2057;975.71;26.085008;0;0.56787;1.511950186;2.7498;2.8948;304.66;0.78613
08.01.2013 08:30;0.340646488;0.29261;81.874;17.45208961;13.992;34.44800019;18.014;32.006;8.156956056;4.0887;975.86;24.196064;0;0.35518;0.945664443;15.611;2.8719;254.35;1.5716
08.01.2013 09:00;0.337386824;0.28981;81.097;27.07368904;21.706;35.97209568;18.811;40.517;9.394055489;4.7088;975.96;26.74392;0;0.35334;0.940765455;53.807;2.9307;248.6;1.5959
08.01.2013 09:30;0.389611292;0.33467;81.097;25.30627831;20.289;29.85659082;15.613;35.902;14.6953687;7.3661;976.15;31.588528;0;0.31093;0.827849105;106.88;2.7922;199.38;1.3916
08.01.2013 10:00;0.391799923;0.33655;79.127;26.7743393;21.466;28.17377522;14.733;36.199;17.53744555;8.7907;976.23;28.379872;0;0.35547;0.946436566;221.03;2.985;165.85;2.1552
08.01.2013 10:30;0.358423296;0.30788;78.422;21.70784502;17.404;28.2177579;14.756;32.16;18.88666397;9.467;976.41;25.983056;0;0.42946;1.14343446;267.86;3.1386;160.14;1.1289
08.01.2013 11:00;0.334674318;0.28748;74.725;18.55718905;14.878;24.81770548;12.978;27.856;18.3621785;9.2041;976.49;24.66712;0;0.4607;1.226610757;330.87;4.0182;295.95;1.5006
08.01.2013 11:30;0.345128525;0.29646;74.512;17.80008368;14.271;24.36066806;12.739;27.01;19.51947794;9.7842;976.27;25.42232;0;0.48989;1.304328943;323.24;3.9641;301.62;1.3138
08.01.2013 12:00;0.347363723;0.29838;74.649;23.05616612;18.485;25.40095406;13.283;31.768;18.90202547;9.4747;975.87;24.720928;0;0.38886;1.035337224;323.62;3.9641;291.67;1.0885
08.01.2013 12:30;0.357212564;0.30684;73.378;41.23293155;33.058;27.86780875;14.573;47.631;17.84527403;8.945;975.54;39.758848;0;0.53791;1.432181881;325.94;4.1618;255.07;1.1383
08.01.2013 13:00;0.348120431;0.29903;70.01;24.75497588;19.847;27.7760188;14.525;34.372;18.3837245;9.2149;975.3;40.19592;0;0.67183;1.788743011;330.8;4.9923;287.06;1.1508
08.01.2013 13:30;0.369610927;0.31749;68.519;26.19559648;21.002;28.48547856;14.896;35.898;18.78152748;9.4143;975.12;35.045456;0;0.64711;1.722926171;284.86;5.3132;296.09;1.3818
08.01.2013 14:00;0.364744715;0.31331;69.946;17.07540786;13.69;26.16587024;13.683;27.373;18.64965799;9.3482;974.97;30.19424;0;0.51368;1.367669663;229.56;5.3052;280.66;1.3065
08.01.2013 14:30;0.374558631;0.32174;67.525;30.70579917;24.618;36.82688951;19.258;43.876;14.35422372;7.1951;974.74;28.661184;0;0.53894;1.434924249;187.2;5.7798;273.29;0.96917
08.01.2013 15:00;0.431183644;0.37038;67.02;34.59110929;27.733;38.46189785;20.113;47.846;12.76839831;6.4002;974.79;30.19896;0;0.57533;1.531812387;147.3;6.0694;278.65;0.60091
08.01.2013 15:30;0.405502152;0.34832;66.811;22.15811692;17.765;35.78086663;18.711;36.476;12.73328631;6.3826;974.9;29.7364;0;0.58353;1.553644834;96.108;6.2001;285.22;0.95669
08.01.2013 16:00;0.467319344;0.40142;69.027;33.99240981;27.253;45.54502168;23.817;51.07;6.310384157;3.1631;974.9;32.401312;0;0.61999;1.650719347;45.027;5.9922;261.76;0.93166
