44 1001
Wienhold, Frank G.
Institute for Atmosheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2012 06 20  2012 06 20
0.0
time in minutes since 2012-06-20 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

       270    953.56     18.87     16.42     85.65      3.04      1.00      0.00      1.77      1.83    237.00      3.54    241.00     -0.96     -1.49         0        30         0         0
       280    953.50     18.95     16.17     83.95      2.93      1.30      0.00      1.72      1.79    230.00      3.49    243.00     -1.10     -1.31         0        30         0         0
       290    953.50     18.95     16.15     83.79      2.92      0.90      0.00      1.44      1.51    236.00      2.53    261.00     -0.82     -1.19         0        30         0         0
       300    953.50     18.88     15.98     83.25      3.11      1.10      0.00      1.28      1.32    243.00      2.40    253.00     -0.58     -1.13         0        30         0         0
       310    953.37     19.13     15.62     80.08      3.50      2.30      0.00      0.98      1.04    259.00      2.63    261.00     -0.19     -0.96         0        30         0         0
       320    953.27     18.96     15.86     82.20      3.64      4.10      0.00      0.64      0.85    181.00      1.70    152.00     -0.64     -0.01         0        30         0         0
       330    953.19     19.03     15.59     80.46      3.78      5.00      0.00      0.73      0.91    182.00      2.21    185.00     -0.73     -0.03         0        30         0         0
       340    953.19     19.14     15.75     80.73      3.89      8.00      0.00      1.91      2.05    221.00      3.85    261.00     -1.43     -1.26         0        20         0         0
       350    953.19     19.06     15.70     80.89      3.96      9.00      0.00      2.42      2.45    220.00      3.41    220.00     -1.86     -1.54         0        30         0         0
       360    953.15     19.28     15.11     76.83      3.96     10.10      0.00      2.50      2.54    221.00      4.64    233.00     -1.89     -1.64         0        20         0         0
       370    953.11     19.32     15.32     77.68      4.12     11.40      0.00      2.48      2.58    217.00      3.86    197.00     -1.97     -1.51         0        20         0         0
       380    952.95     19.50     15.52     77.79      4.13     17.30      0.00      2.69      2.81    230.00      4.83    257.00     -1.72     -2.07         0        20         0         0
       390    952.94     19.36     15.21     76.92      4.06     13.90      0.00      2.47      2.53    240.00      5.17    255.00     -1.23     -2.13         0        30         0         0
       400    952.97     19.46     15.75     79.11      4.20     13.60      0.00      1.94      1.97    248.00      3.98    245.00     -0.73     -1.80         0        30         0         0
       410    952.96     19.78     15.60     76.84      4.27     21.60      0.00      2.03      2.06    254.00      4.10    267.00     -0.54     -1.96         0        30         0         0
       420    953.03     19.85     15.34     75.26      4.27     23.90      0.00      2.12      2.16    253.00      3.89    252.00     -0.63     -2.03         0        30         0         0
       430    953.17     19.66     15.49     76.86      4.10     16.70      0.00      1.95      2.03    257.00      3.68    248.00     -0.45     -1.90         0        30         0         0
       440    953.30     19.47     15.36     77.14      4.02     12.80      0.00      2.05      2.11    267.00      4.12    293.00     -0.11     -2.04         0        30         0         0
       450    953.34     19.28     15.59     79.21      3.94     10.10      0.00      2.18      2.25    260.00      4.02    251.00     -0.38     -2.15         0        30         0         0
       460    953.31     19.47     15.56     78.15      3.99     10.90      0.00      1.98      2.02    251.00      3.13    253.00     -0.66     -1.87         0        30         0         0
